"","Model","Trait","nsamples","Slpe","Inte","Rsqr","MAE","MAPE","SMAPE","MSE","RMSE"
"1","mRF","Cab",1,0.0225705913504604,1.16170713151555,0.00242311095120008,0.1739058521096,0.00857795843802625,0.00842928766427253,1.09544175707951,0.160062279172895
"2","mRF","Cab",2,0.00646068803134989,0.355332038540484,0.000530051294755298,0.0908852190495952,0.00479996894905197,0.00523816898491763,0.403453699762742,0.0955390671511116
"3","mRF","Cab",3,0.00575788028095357,0.24902905502396,0.000775398506683241,0.0847185962023771,0.00224864317269241,0.00229084773293077,0.4651207795915,0.134643527459709
"4","mRF","Car",1,0.0290293194008374,0.882778089573264,0.0780254436518925,0.244358443079985,0.00969838065657785,0.00920467210710177,1.66336976609696,0.306699923527933
"5","mRF","Car",2,0.0234653327632628,0.578768680951506,0.0351587085855991,0.196768704828688,0.00800148187399613,0.00742608275371536,1.54058970309746,0.24877065907662
"6","mRF","Car",3,0.0103738486804494,0.250293990409052,0.0298376969910233,0.186210231954648,0.00721056877582196,0.00695544010630766,1.3230881756299,0.224607942312252
"7","mRF","Cm",1,0.0365229194313484,0.000620263886051602,0.0370681629483786,0.000122127241114835,0.00680750695016393,0.00670304314516103,7.05609084516278e-07,0.000155580181984496
"8","mRF","Cm",2,0.0245819106488031,0.000375432488812307,0.020121684062681,0.000115187891964206,0.0058122132659211,0.00560192584332017,5.5599291598482e-07,0.000113853213476016
"9","mRF","Cm",3,0.0162858529763174,0.000395024707978834,0.0158919314202107,7.58181593081825e-05,0.00677795914095065,0.00639522958469671,3.55351063732033e-07,7.56744078899084e-05
"10","mRF","Cw",1,0.0157681190302497,0.000378776455848,0.0324213597538422,0.000127864234958558,0.00603366977123833,0.00532231427606331,6.42829670909712e-07,0.000142145727738888
"11","mRF","Cw",2,0.0170917854574028,0.000294658343993487,0.0195089185500819,7.9668636060238e-05,0.00442557836343543,0.00399527198019853,3.56778531316576e-07,8.77072859358159e-05
"12","mRF","Cw",3,0.011201649565147,0.000135685316466276,0.020743793758937,9.82923281848609e-05,0.00732470458201325,0.00683772621090023,4.46373726517744e-07,0.000102155387709502
"13","mRF","LAI",1,0.028051191630555,0.178007981505804,0.0481891074193518,0.0657574917567145,0.0313667338189708,0.0223763790841131,0.14229624015724,0.0702483590689086
"14","mRF","LAI",2,0.0274857006743753,0.106167233030907,0.0149334894332005,0.0360457356250253,0.0107689246962704,0.00878769560392696,0.065240935543874,0.0295772404667784
"15","mRF","LAI",3,0.0129043800772651,0.0778701796617898,0.0120642019348057,0.0221045367404878,0.017240219154722,0.00987551324456216,0.0556166444250023,0.0248581529544277
"16","ann","Cab",1,0.0276199888846597,0.894595674611441,0.00647681599681465,0.597175737163205,0.778505304285519,0.033637941036011,6.32012803333273,0.739668259685279
"17","ann","Cab",2,0.0159105657479511,1.04550368751892,0.004563314646888,0.417512578621398,0.080006456753831,0.0231274275208777,3.46328611740624,0.578848787618554
"18","ann","Cab",3,0.015342801958189,0.549779217096308,0.0036904386472722,0.407023789674064,0.0153454565589416,0.016482853748199,2.78066728290203,0.540271902582687
"19","ann","Car",1,0.0134836051651123,0.36834486765866,0.00589254818551739,0.217916197352932,0.0123752385645577,0.0119891665374598,1.18545811529745,0.166801006348579
"20","ann","Car",2,0.0288501175537728,0.346011931949535,0.0270690752982044,0.510309642228709,0.0289697326478791,0.0221305520470708,4.90768867507763,0.716375726918236
"21","ann","Car",3,0.00801282138613959,0.457912121795391,0.0147404214826625,0.251508505732059,0.0181397550722209,0.0144833770686466,2.37891598728051,0.406000954835042
"22","ann","Cm",1,0.0204207881074887,0.00063569561129479,0.00704374472811587,6.51828205883057e-05,0.00640888596715663,0.0056671672040418,2.27348125923381e-07,8.41295047626403e-05
"23","ann","Cm",2,0.0161784575143683,0.00044842636610434,0.00886793232253917,0.000155947672402453,0.00807842161586208,0.00805939487391819,4.77540096920972e-07,0.000201858740250687
"24","ann","Cm",3,0.00676766970851184,0.000189746046289816,0.00441295899621423,0.000114359922953294,0.00730731855968732,0.00745121976566475,2.3927084934677e-07,0.000133252817096372
"25","ann","Cw",1,0.018504188158802,0.000184161744222431,0.00660272700394365,9.14956225812615e-05,0.00683510428038608,0.00730695273905783,3.27275082117505e-07,0.000126411735245687
"26","ann","Cw",2,0.0164123966691365,0.000332075195705903,0.0059460123915228,0.00012613301147451,0.00952830807802982,0.00801560370357613,2.53592013296485e-07,0.0001098843342319
"27","ann","Cw",3,0.00947257492732992,0.000227986915332915,0.0029405012118464,4.08621694737562e-05,0.00452677374818114,0.00452835136208465,1.23627598042688e-07,7.08429123799164e-05
"28","ann","LAI",1,0.0523055999553598,0.0828044701163371,0.0213723509977503,0.0623460760609093,0.0334417676611442,0.0244060787470258,0.130511087446909,0.0714072944259442
"29","ann","LAI",2,0.0174166282549178,0.0919115140729721,0.0136075334866576,0.0897032434796434,0.0662636014472193,0.0251121460658705,0.115083712392039,0.0763397367500883
"30","ann","LAI",3,0.0320209260069071,0.0685176012897056,0.0128935109048341,0.0414207437015795,0.107202172642777,0.0189787038677617,0.0501815160116403,0.036605167843356
