"","kf_th","Model","variable","Slpe","Inte","Rsqr","MAE","MAPE","SMAPE","MSE","RMSE"
"1",1,"ann","Cab",0.987007068323572,0.719112815578702,0.987884569749089,2.40857333908009,0.0783617108455186,0.0812169789595776,9.39521920374366,3.06516218229047
"2",1,"ann","Car",0.941432577757994,1.22798712441168,0.960169154514288,1.81775835124323,0.0934537691513865,0.0889386582799037,6.11908749851638,2.47367894006405
"3",1,"ann","Cw",0.986610823347577,0.000179491785929433,0.982275922250661,0.000655185170576239,0.0503943822593204,0.0504345741915629,8.91753107932073e-07,0.000944326801447504
"4",1,"ann","Cm",0.974743686448879,0.000328148190437207,0.977267310079369,0.000789664347148974,0.0543187956986095,0.0549038191658758,1.17955093968893e-06,0.00108607133268903
"5",1,"ann","LAI",0.855952619171675,0.500274161450196,0.901560696120848,0.570767579288893,0.180358845132303,0.149018547093987,0.543135416300372,0.736977215591074
"6",2,"ann","Cab",0.987086764653852,-0.139889239382166,0.986777836713363,2.36261107684266,0.0819303989263622,0.0852507506537909,10.1310905429423,3.18293740795233
"7",2,"ann","Car",0.950258266916169,2.21898417915381,0.953161558060961,2.22618847672719,0.100899659455029,0.1000693432103,7.77566148219255,2.7884873107462
"8",2,"ann","Cw",0.990098176005414,0.000223382926632615,0.982282184066001,0.000633025405603156,0.0439083092751555,0.0449706484406517,9.14391341745166e-07,0.000956238119792955
"9",2,"ann","Cm",0.964979340757988,0.000561733990779148,0.989573469456902,0.000480668875096517,0.0343521072458987,0.0346566971496528,5.08566961606251e-07,0.000713138809493812
"10",2,"ann","LAI",0.932599685806515,0.378257216870786,0.922123276049926,0.525077063767661,0.240517484364238,0.131338706362837,0.486689964100051,0.697631682265113
"11",3,"ann","Cab",1.00462547877529,0.0974597553211479,0.994850107890491,1.4992570498732,0.0443911568720377,0.0448149401805064,3.74688196406853,1.93568643226854
"12",3,"ann","Car",0.946928232951325,1.02855281433283,0.927319646045369,2.2223825212195,0.125203694939488,0.109034197865135,11.6230528498039,3.40925986832977
"13",3,"ann","Cw",1.01074351338647,-0.000273605978908464,0.986397664362911,0.000583476971813089,0.0441646794836358,0.0437099793818714,7.32079898985167e-07,0.000855616677598775
"14",3,"ann","Cm",0.979816729692089,0.000199684405086956,0.984191922642478,0.000630710732381054,0.0447337807094906,0.043984468830726,8.04772398577812e-07,0.000897091075965987
"15",3,"ann","LAI",0.897500384912478,0.392120316147002,0.912386385436878,0.534676895542644,0.375292099725315,0.145859161949219,0.505434334744344,0.710939051356967
"16",4,"ann","Cab",0.961900139500606,0.921319865653366,0.985219484230938,2.51007443013564,0.0772623634859796,0.0791485386450199,10.6815871929229,3.26826975522568
"17",4,"ann","Car",0.958940530630597,1.30693400109111,0.958876357028021,1.72404817456567,0.0792149064759574,0.0736491946676985,6.58569090227474,2.5662601002772
"18",4,"ann","Cw",0.999423169784495,0.000316330359685812,0.988974636252283,0.000597878918618276,0.0390869992151445,0.0390938274077028,6.19292600867796e-07,0.000786951460299678
"19",4,"ann","Cm",0.963901278773851,0.000160187242593302,0.982625883057515,0.000673269184843157,0.0484765162259657,0.0489548633901531,8.2690775405489e-07,0.000909344683854747
"20",4,"ann","LAI",0.894048605479516,0.46149125598931,0.921247682933516,0.524458339797538,0.127322648039634,0.120779522128967,0.471714675187144,0.686814876940755
"21",5,"ann","Cab",0.980889253910463,1.1515075854715,0.988207275977092,2.11119198454228,0.0652338937772849,0.065756580669591,8.10852064762475,2.84754642589454
"22",5,"ann","Car",0.96031429208131,1.4344913849837,0.96413741367755,1.7655582291642,0.0836590218412924,0.0796432882493302,5.81095190937017,2.41059160982738
"23",5,"ann","Cw",1.00005595664484,8.61655959212994e-05,0.983390010188732,0.000683300180038921,0.0490669351150777,0.04912708960567,8.48687945439182e-07,0.000921242609435312
"24",5,"ann","Cm",0.973333473417572,0.00055151292504863,0.982325106752461,0.000708626642632442,0.0470896112521377,0.0471673704564454,8.89647881519765e-07,0.000943211472321963
"25",5,"ann","LAI",0.933034697291773,0.328314879309018,0.936396120853894,0.456360233176181,0.109706687013516,0.1027833314264,0.406760138904079,0.637777499527915
