"","Model","Trait","nsamples","variable","mean","sd"
"1","mRF","Cab",500,"Slpe",0.89249131075254,0.0225705913504604
"2","mRF","Cab",500,"Inte",5.00072446827879,1.16170713151555
"3","mRF","Cab",500,"Rsqr",0.980996374432172,0.00242311095120008
"4","mRF","Cab",500,"MAE",2.78900985888706,0.1739058521096
"5","mRF","Cab",500,"MAPE",0.072185447474664,0.00857795843802625
"6","mRF","Cab",500,"SMAPE",0.0735312044605727,0.00842928766427253
"7","mRF","Cab",500,"MSE",11.3215246967263,1.09544175707951
"8","mRF","Cab",500,"RMSE",3.3617002766688,0.160062279172895
"9","mRF","Cab",1500,"Slpe",0.957400087386465,0.00646068803134989
"10","mRF","Cab",1500,"Inte",1.91005481676573,0.355332038540484
"11","mRF","Cab",1500,"Rsqr",0.993780478265982,0.000530051294755298
"12","mRF","Cab",1500,"MAE",1.53664391355098,0.0908852190495952
"13","mRF","Cab",1500,"MAPE",0.0416479866123686,0.00479996894905197
"14","mRF","Cab",1500,"SMAPE",0.0425539506687923,0.00523816898491763
"15","mRF","Cab",1500,"MSE",4.30137299240945,0.403453699762742
"16","mRF","Cab",1500,"RMSE",2.07221399033202,0.0955390671511116
"17","mRF","Cab",3000,"Slpe",0.969033236790292,0.00575788028095357
"18","mRF","Cab",3000,"Inte",1.35953496598238,0.24902905502396
"19","mRF","Cab",3000,"Rsqr",0.995876775711499,0.000775398506683241
"20","mRF","Cab",3000,"MAE",1.22586022063782,0.0847185962023771
"21","mRF","Cab",3000,"MAPE",0.0328622762232248,0.00224864317269241
"22","mRF","Cab",3000,"SMAPE",0.0332984683221683,0.00229084773293077
"23","mRF","Cab",3000,"MSE",2.90579156756573,0.4651207795915
"24","mRF","Cab",3000,"RMSE",1.70037891776401,0.134643527459709
"25","mRF","Car",500,"Slpe",0.273534163274413,0.0290293194008374
"26","mRF","Car",500,"Inte",19.7030831618919,0.882778089573264
"27","mRF","Car",500,"Rsqr",0.619298875494903,0.0780254436518925
"28","mRF","Car",500,"MAE",2.21636533317961,0.244358443079985
"29","mRF","Car",500,"MAPE",0.0847030360210992,0.00969838065657785
"30","mRF","Car",500,"SMAPE",0.0831079882613118,0.00920467210710177
"31","mRF","Car",500,"MSE",7.72355751303684,1.66336976609696
"32","mRF","Car",500,"RMSE",2.76555702139066,0.306699923527933
"33","mRF","Car",1500,"Slpe",0.38539048399624,0.0234653327632628
"34","mRF","Car",1500,"Inte",16.6743231407159,0.578768680951506
"35","mRF","Car",1500,"Rsqr",0.721612445505771,0.0351587085855991
"36","mRF","Car",1500,"MAE",2.39896977853335,0.196768704828688
"37","mRF","Car",1500,"MAPE",0.0920651974918908,0.00800148187399613
"38","mRF","Car",1500,"SMAPE",0.0901238935566351,0.00742608275371536
"39","mRF","Car",1500,"MSE",9.6566850736374,1.54058970309746
"40","mRF","Car",1500,"RMSE",3.09954441829496,0.24877065907662
"41","mRF","Car",3000,"Slpe",0.413536120357235,0.0103738486804494
"42","mRF","Car",3000,"Inte",15.8992902332903,0.250293990409052
"43","mRF","Car",3000,"Rsqr",0.752460283296126,0.0298376969910233
