The following table was created as response to the SQL query
SELECT m_methodname "general method", sbs_sbsname "SBS name", cglv_name "clonal growth organ 1", crlv_name "role of CGO 1", cglv_2name "clonal growth organ 2", crlv2_name "role of CGO 2", cglv_3name "clonal growth organ 3", crlv3_name "role of CGO 3", cglv_4name "clonal growth organ 4", crlv4_name "role of CGO 4", cgo_valid "valid", ref_refname "reference" FROM (SELECT sbs_cgo.cgo_valid, m.m_methodname, sbs_cgo.sbs_sbsname, sbs_cgo.cglv_name, sbs_cgo.crlv_name, sbs_cgo.cglv_2name, sbs_cgo.crlv2_name, sbs_cgo.cglv_3name, sbs_cgo.crlv3_name, sbs_cgo.cglv_4name, sbs_cgo.crlv4_name, sbs_cgo.ref_refname, sbs_cgo.cgo_sbsnumber FROM (SELECT cgo_cglv.cgo_valid, cgo_cglv.cgo_methodid, sbs.sbs_sbsname, cgo_cglv.cglv_name, cgo_cglv.crlv_name, cgo_cglv.cglv_2name, cgo_cglv.crlv2_name, cgo_cglv.cglv_3name, cgo_cglv.crlv3_name, cgo_cglv.cglv_4name, cgo_cglv.crlv4_name, cgo_cglv.ref_refname, cgo_cglv.cgo_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT cgo_crlv.cgo_sbsnumber, cgo_crlv.cgo_valid, cgo_crlv.cgo_methodid, cglv.cglv_name, cgo_crlv.crlv_name, cgo_crlv.cglv_2name, cgo_crlv.crlv2_name, cgo_crlv.cglv_3name, cgo_crlv.crlv3_name, cgo_crlv.cglv_4name, cgo_crlv.crlv4_name, cgo_crlv.ref_refname FROM (SELECT cgo_cglv2.cgo_sbsnumber, cgo_cglv2.cgo_valid, cgo_cglv2.cgo_methodid, cgo_cglv2.cgo_1id, crlv.crlv_name, cgo_cglv2.cglv_2name, cgo_cglv2.crlv2_name, cgo_cglv2.cglv_3name, cgo_cglv2.crlv3_name, cgo_cglv2.cglv_4name, cgo_cglv2.crlv4_name, cgo_cglv2.ref_refname FROM (SELECT cgo_crlv2.cgo_sbsnumber, cgo_crlv2.cgo_valid, cgo_crlv2.cgo_methodid, cgo_crlv2.cgo_1id, cgo_crlv2.cgo_role1id, cglv2.cglv_2name, cgo_crlv2.crlv2_name, cgo_crlv2.cglv_3name, cgo_crlv2.crlv3_name, cgo_crlv2.cglv_4name, cgo_crlv2.crlv4_name, cgo_crlv2.ref_refname FROM (SELECT cgo_cglv3.cgo_sbsnumber, cgo_cglv3.cgo_valid, cgo_cglv3.cgo_methodid, cgo_cglv3.cgo_1id, cgo_cglv3.cgo_role1id, cgo_cglv3.cgo_2id, crlv2.crlv2_name, cgo_cglv3.cglv_3name, cgo_cglv3.crlv3_name, cgo_cglv3.cglv_4name, cgo_cglv3.crlv4_name, cgo_cglv3.ref_refname FROM (SELECT cgo_crlv3.cgo_sbsnumber, cgo_crlv3.cgo_valid, cgo_crlv3.cgo_methodid, cgo_crlv3.cgo_1id, cgo_crlv3.cgo_role1id, cgo_crlv3.cgo_2id, cgo_crlv3.cgo_role2id, cglv3.cglv_3name, cgo_crlv3.crlv3_name, cgo_crlv3.cglv_4name, cgo_crlv3.crlv4_name, cgo_crlv3.ref_refname FROM (SELECT cgo_cglv4.cgo_sbsnumber, cgo_cglv4.cgo_valid, cgo_cglv4.cgo_methodid, cgo_cglv4.cgo_1id, cgo_cglv4.cgo_role1id, cgo_cglv4.cgo_2id, cgo_cglv4.cgo_role2id, cgo_cglv4.cgo_3id, crlv3.crlv3_name, cgo_cglv4.cglv_4name, cgo_cglv4.crlv4_name, cgo_cglv4.ref_refname FROM (SELECT cgo_crlv4.cgo_sbsnumber, cgo_crlv4.cgo_valid, cgo_crlv4.cgo_methodid, cgo_crlv4.cgo_1id, cgo_crlv4.cgo_role1id, cgo_crlv4.cgo_2id, cgo_crlv4.cgo_role2id, cgo_crlv4.cgo_3id, cgo_crlv4.cgo_role3id, cglv4.cglv_4name, cgo_crlv4.crlv4_name, cgo_crlv4.ref_refname FROM (SELECT r_cgo.cgo_sbsnumber, r_cgo.cgo_valid, r_cgo.cgo_methodid, r_cgo.cgo_1id, r_cgo.cgo_role1id, r_cgo.cgo_2id, r_cgo.cgo_role2id, r_cgo.cgo_3id, r_cgo.cgo_role3id, r_cgo.cgo_4id, crlv4.crlv4_name, r_cgo.ref_refname FROM (SELECT cgo.cgo_sbsnumber, cgo.cgo_valid, cgo.cgo_methodid, cgo.cgo_1id, cgo.cgo_role1id, cgo.cgo_2id, cgo.cgo_role2id, cgo.cgo_3id, cgo.cgo_role3id, cgo.cgo_4id, cgo.cgo_role4id, r.ref_refname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT sbsnumber AS cgo_sbsnumber, valid AS cgo_valid, methodid AS cgo_methodid, cgo1 AS cgo_1id, cgo1role AS cgo_role1id, cgo2 AS cgo_2id, cgo2role AS cgo_role2id, cgo3 AS cgo_3id, cgo3role AS cgo_role3id, cgo4 AS cgo_4id, cgo4role AS cgo_role4id, referenceid AS cgo_referenceid FROM (SELECT sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, cgo1, cgo1role, cgo2, cgo2role, cgo3, cgo3role, cgo4, cgo4role, created_when, updated_when, valid, validsince, validuntil, ledaid, clonalgrowthorganid FROM clonalgrowthorgan NATURAL JOIN taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) cgo ON r.ref_referenceid = cgo.cgo_referenceid) r_cgo LEFT JOIN (SELECT clonalgrowthorganroleid AS crlv4_id, clonalgrowthorganrolename AS crlv4_name FROM (select clonalgrowthorganroleid, clonalgrowthorganrolename from clonalgrowthorganrole_lv)) crlv4 ON r_cgo.cgo_role4id = crlv4.crlv4_id) cgo_crlv4 LEFT JOIN (SELECT clonalgrowthorgantypeid AS cglv_4id, clonalgrowthorgantypename AS cglv_4name FROM (select clonalgrowthorgantypeid, clonalgrowthorgantypename, clonalgrowthorgantypecode from clonalgrowthorgantype_lv)) cglv4 ON cgo_crlv4.cgo_4id = cglv4.cglv_4id) cgo_cglv4 LEFT JOIN (SELECT clonalgrowthorganroleid AS crlv3_id, clonalgrowthorganrolename AS crlv3_name FROM (select clonalgrowthorganroleid, clonalgrowthorganrolename from clonalgrowthorganrole_lv)) crlv3 ON cgo_cglv4.cgo_role3id = crlv3.crlv3_id) cgo_crlv3 LEFT JOIN (SELECT clonalgrowthorgantypeid AS cglv_3id, clonalgrowthorgantypename AS cglv_3name FROM (select clonalgrowthorgantypeid, clonalgrowthorgantypename, clonalgrowthorgantypecode from clonalgrowthorgantype_lv)) cglv3 ON cgo_crlv3.cgo_3id = cglv3.cglv_3id) cgo_cglv3 LEFT JOIN (SELECT clonalgrowthorganroleid AS crlv2_id, clonalgrowthorganrolename AS crlv2_name FROM (select clonalgrowthorganroleid, clonalgrowthorganrolename from clonalgrowthorganrole_lv)) crlv2 ON cgo_cglv3.cgo_role2id = crlv2.crlv2_id) cgo_crlv2 LEFT JOIN (SELECT clonalgrowthorgantypeid AS cglv_2id, clonalgrowthorgantypename AS cglv_2name FROM (select clonalgrowthorgantypeid, clonalgrowthorgantypename, clonalgrowthorgantypecode from clonalgrowthorgantype_lv)) cglv2 ON cgo_crlv2.cgo_2id = cglv2.cglv_2id) cgo_cglv2 LEFT JOIN (SELECT clonalgrowthorganroleid AS crlv_id, clonalgrowthorganrolename AS crlv_name FROM (select clonalgrowthorganroleid, clonalgrowthorganrolename from clonalgrowthorganrole_lv)) crlv ON cgo_cglv2.cgo_role1id = crlv.crlv_id) cgo_crlv LEFT JOIN (SELECT clonalgrowthorgantypeid AS cglv_id, clonalgrowthorgantypename AS cglv_name FROM (select clonalgrowthorgantypeid, clonalgrowthorgantypename, clonalgrowthorgantypecode from clonalgrowthorgantype_lv)) cglv ON cgo_crlv.cgo_1id = cglv.cglv_id) cgo_cglv ON sbs.sbs_sbsnumber = cgo_cglv.cgo_sbsnumber) sbs_cgo LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON sbs_cgo.cgo_methodid = m.m_methodid) ORDER BY sbs_sbsname
on Thu Mar 13 09:13:25 CET 2008 .

general method;SBS name;clonal growth organ 1;role of CGO 1;clonal growth organ 2;role of CGO 2;clonal growth organ 3;role of CGO 3;clonal growth organ 4;role of CGO 4;valid;reference
observation (like obvious taxonomical traits);Acer campestre;adventitious buds on roots;regenerative;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Acer campestre;adventitious buds on roots;regenerative;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Acer campestre;adventitious buds on roots;;;;;;;;0;CLO-PLA records from September 2005
unknown;Acer pseudoplatanus;adventitious buds on roots;regenerative;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Aceras anthropophorum;root tubers below ground;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Aceras anthropophorum;root tubers below ground;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea atrata;epigeogeneous stems;necessary;hypogeogeneous stems;additive;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea atrata;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea clavennae;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea clavennae;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea crithmifolia;adventitious buds on roots;necessary;hypogeogeneous stems;necessary;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea macrophylla;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea millefolium;epigeogeneous stems;necessary;hypogeogeneous stems;additive;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea millefolium;hypogeogeneous stems;necessary;hypogeogeneous stems;regenerative;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea millefolium;hypogeogeneous stems;necessary;hypogeogeneous stems;regenerative;;;;;0;CLO-PLA records from September 2005
unknown;Achillea millefolium;hypogeogeneous stems;regenerative;hypogeogeneous stems;additive;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea millefolium;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
unknown;Achillea millefolium;hypogeogeneous stems;;;;;;;;0;CLO-PLA records from September 2005
unknown;Achillea millefolium;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea millefolium;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea nana;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea nobilis;root-splitters;none;adventitious buds on roots;additive;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea nobilis;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea nobilis;adventitious buds on roots;necessary;epigeogeneous stems;necessary;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea oxyloba;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea oxyloba;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea oxyloba;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea pannonica;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea pannonica;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea pannonica;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea ptarmica;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea ptarmica;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achillea setacea;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achillea tomentosa;adventitious buds on roots;necessary;epigeogeneous stems;necessary;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Achnatherum calamagrostis;epigeogeneous stems;necessary;hypogeogeneous stems;additive;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Achnatherum calamagrostis;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Acinos alpinus;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Acinos alpinus;root-splitters;none;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Acinos alpinus;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Acinos arvensis;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Acinos arvensis;root-splitters;none;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Aconitum anthora;root tubers below ground;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Aconitum napellus;root tubers below ground;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Aconitum napellus;root tubers below ground;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Aconitum septentrionale;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Aconitum septentrionale;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Aconitum septentrionale;root-splitters;additive;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Aconitum variegatum;root tubers below ground;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Aconitum variegatum;root tubers below ground;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Aconitum variegatum;root tubers below ground;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Aconitum variegatum;CGO of root origin: root tubers at or above soil surface;additive;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Aconitum variegatum;CGO of root origin: root tubers at or above soil surface;additive;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Acorus calamus;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Acorus calamus;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Acorus calamus;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Acorus calamus;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
unknown;Acroptilon repens;adventitious buds on roots;necessary;adventitious buds on roots;regenerative;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Acroptilon repens;adventitious buds on roots;necessary;;;;;;;0;CLO-PLA records from September 2005
field experiment;Acroptilon repens;adventitious buds on roots;regenerative;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Actaea spicata;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Actaea spicata;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Actaea spicata;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Actaea spicata;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Actaea spicata;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Adenostyles alliariae;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Adenostyles alliariae;epigeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Adonis vernalis;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Adonis vernalis;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Adonis vernalis;hypogeogeneous stems;necessary;;;;;;;0;CLO-PLA records from September 2005
derivation from photos or drawings;Adoxa moschatellina;stem tubers;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Adoxa moschatellina;stem tubers;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Adoxa moschatellina;stem tubers;necessary;;;;;;;0;CLO-PLA records from September 2005
observation (like obvious taxonomical traits);Adoxa moschatellina;stem tubers;necessary;;;;;;;0;CLO-PLA records from September 2005
