The following table was created as response to the SQL query;;;;;;;;;;;;;;;;;;;;;;;
"SELECT sbs_sbsname ""SBS name"", m_methodname ""general method"", sla_singlevalue ""single value [mm^2/mg]"", sla_n ""sample size"", sla_valid ""valid"", lfm_name ""leaf specific method"", ref_refname ""reference"", sbs_sbsnumber ""SBS number"", or_origrefname ""original reference"", geo_countryname ""country"", geo_utmzone ""UTM zone"", geo_utmeasting ""UTM easting"", geo_utmnorthing ""UTM northing"", sla_mean ""mean SLA [mm^2/mg]"", sla_maximum ""maximum SLA [mm^2/mg]"", sla_minimum ""minimum SLA [mm^2/mg]"", sla_replicates ""number of replicates"", sla_stddev ""standard deviation"", sla_stderror ""standard error"", sla_balanceerror ""balance error [mg]"", sla_collectiondate ""collection date"", sla_comment ""general comment"", pslv_name ""plant stage"" FROM (SELECT case when sla_median is not null then sla_median when sla_mean is not null then sla_mean when sla_maximum is not null and sla_minimum is not null then (sla_maximum + sla_minimum) / 2 when sla_maximum is not null then sla_maximum when sla_minimum is not null then sla_minimum else null end AS sla_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, sla_mean, sla_maximum, sla_minimum, sla_n, sla_valid, lfm_name, ref_refname, or_origrefname, geo_countryname, geo_utmzone, geo_utmeasting, geo_utmnorthing, sla_replicates, sla_stddev, sla_stderror, sla_balanceerror, sla_collectiondate, sla_comment, pslv_name, sla_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_sla.m_methodname, m_sla.sla_median, m_sla.sla_mean, m_sla.sla_maximum, m_sla.sla_minimum, m_sla.sla_n, m_sla.sla_valid, m_sla.lfm_name, m_sla.ref_refname, m_sla.or_origrefname, m_sla.geo_countryname, m_sla.geo_utmzone, m_sla.geo_utmeasting, m_sla.geo_utmnorthing, m_sla.sla_replicates, m_sla.sla_stddev, m_sla.sla_stderror, m_sla.sla_balanceerror, m_sla.sla_collectiondate, m_sla.sla_comment, m_sla.pslv_name, m_sla.sla_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT sla_lfm.sla_sbsnumber, m.m_methodname, sla_lfm.sla_median, sla_lfm.sla_mean, sla_lfm.sla_maximum, sla_lfm.sla_minimum, sla_lfm.sla_n, sla_lfm.sla_valid, sla_lfm.lfm_name, sla_lfm.ref_refname, sla_lfm.or_origrefname, sla_lfm.geo_countryname, sla_lfm.geo_utmzone, sla_lfm.geo_utmeasting, sla_lfm.geo_utmnorthing, sla_lfm.sla_replicates, sla_lfm.sla_stddev, sla_lfm.sla_stderror, sla_lfm.sla_balanceerror, sla_lfm.sla_collectiondate, sla_lfm.sla_comment, sla_lfm.pslv_name FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT r_sla.sla_sbsnumber, r_sla.sla_methodid, r_sla.sla_median, r_sla.sla_mean, r_sla.sla_maximum, r_sla.sla_minimum, r_sla.sla_n, r_sla.sla_valid, lfm.lfm_name, r_sla.ref_refname, r_sla.or_origrefname, r_sla.geo_countryname, r_sla.geo_utmzone, r_sla.geo_utmeasting, r_sla.geo_utmnorthing, r_sla.sla_replicates, r_sla.sla_stddev, r_sla.sla_stderror, r_sla.sla_balanceerror, r_sla.sla_collectiondate, r_sla.sla_comment, r_sla.pslv_name FROM (SELECT sla_orf.sla_sbsnumber, sla_orf.sla_methodid, sla_orf.sla_median, sla_orf.sla_mean, sla_orf.sla_maximum, sla_orf.sla_minimum, sla_orf.sla_n, sla_orf.sla_valid, sla_orf.sla_specificmethodid, r.ref_refname, sla_orf.or_origrefname, sla_orf.geo_countryname, sla_orf.geo_utmzone, sla_orf.geo_utmeasting, sla_orf.geo_utmnorthing, sla_orf.sla_replicates, sla_orf.sla_stddev, sla_orf.sla_stderror, sla_orf.sla_balanceerror, sla_orf.sla_collectiondate, sla_orf.sla_comment, sla_orf.pslv_name FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT sla_geo.sla_sbsnumber, sla_geo.sla_methodid, sla_geo.sla_median, sla_geo.sla_mean, sla_geo.sla_maximum, sla_geo.sla_minimum, sla_geo.sla_n, sla_geo.sla_valid, sla_geo.sla_specificmethodid, sla_geo.sla_referenceid, orf.or_origrefname, sla_geo.geo_countryname, sla_geo.geo_utmzone, sla_geo.geo_utmeasting, sla_geo.geo_utmnorthing, sla_geo.sla_replicates, sla_geo.sla_stddev, sla_geo.sla_stderror, sla_geo.sla_balanceerror, sla_geo.sla_collectiondate, sla_geo.sla_comment, sla_geo.pslv_name FROM (SELECT sla_pslv.sla_sbsnumber, sla_pslv.sla_methodid, sla_pslv.sla_median, sla_pslv.sla_mean, sla_pslv.sla_maximum, sla_pslv.sla_minimum, sla_pslv.sla_n, sla_pslv.sla_valid, sla_pslv.sla_specificmethodid, sla_pslv.sla_referenceid, sla_pslv.sla_origreferenceid, geo.geo_countryname, geo.geo_utmzone, geo.geo_utmeasting, geo.geo_utmnorthing, sla_pslv.sla_replicates, sla_pslv.sla_stddev, sla_pslv.sla_stderror, sla_pslv.sla_balanceerror, sla_pslv.sla_collectiondate, sla_pslv.sla_comment, sla_pslv.pslv_name FROM (SELECT sla.sla_sbsnumber, sla.sla_methodid, sla.sla_median, sla.sla_mean, sla.sla_maximum, sla.sla_minimum, sla.sla_n, sla.sla_valid, sla.sla_specificmethodid, sla.sla_referenceid, sla.sla_origreferenceid, sla.sla_georeferenceid, sla.sla_replicates, sla.sla_stddev, sla.sla_stderror, sla.sla_balanceerror, sla.sla_collectiondate, sla.sla_comment, pslv.pslv_name FROM (SELECT sbsnumber AS sla_sbsnumber, methodid AS sla_methodid, median AS sla_median, mean AS sla_mean, maximum AS sla_maximum, minimum AS sla_minimum, n AS sla_n, valid AS sla_valid, leafspecificmethodid AS sla_specificmethodid, referenceid AS sla_referenceid, origreferenceid AS sla_origreferenceid, georefid AS sla_georeferenceid, replicates AS sla_replicates, stddeviation AS sla_stddev, stderror AS sla_stderror, balanceerror AS sla_balanceerror, collectiondate AS sla_collectiondate, p_comment AS sla_comment, plantstageid AS sla_plantstageid FROM (SELECT sbsnumber, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, leafformid, plantstageid, leafspecificmethodid, balanceerror, specificleafareaid FROM specificleafarea natural join taxontosbsassignment WHERE valid IN (-2, 1))) sla FULL JOIN (SELECT plantstageid AS pslv_id, plantstagename AS pslv_name FROM (select plantstageid, plantstagename from plantstage_lv)) pslv ON sla.sla_plantstageid = pslv.pslv_id) sla_pslv FULL JOIN (SELECT georefid AS geo_georefid, countryname AS geo_countryname, utm_zone AS geo_utmzone, utm_easting AS geo_utmeasting, utm_northing AS geo_utmnorthing FROM (select * from georef_part)) geo ON sla_pslv.sla_georeferenceid = geo.geo_georefid) sla_geo FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON sla_geo.sla_origreferenceid = orf.or_origrefid) sla_orf ON r.ref_referenceid = sla_orf.sla_referenceid) r_sla LEFT JOIN (SELECT leafspecificmethodid AS lfm_id, leafspecificmethodname AS lfm_name FROM (select leafspecificmethodid, leafspecificmethodname from leafspecificmethod_lv)) lfm ON r_sla.sla_specificmethodid = lfm.lfm_id) sla_lfm ON m.m_methodid = sla_lfm.sla_methodid) m_sla ON sbs.sbs_sbsnumber = m_sla.sla_sbsnumber))";;;;;;;;;;;;;;;;;;;;;;;
on Tue Mar 25 17:02:12 CET 2008 .;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
SBS name;general method;single value [mm^2/mg];sample size;valid;leaf specific method;reference;SBS number;original reference;country;UTM zone;UTM easting;UTM northing;mean SLA [mm^2/mg];maximum SLA [mm^2/mg];minimum SLA [mm^2/mg];number of replicates;standard deviation;standard error;balance error [mg];collection date;general comment;plant stage;
Dactylis glomerata;laboratory/greenhouse/garden experiment;16.8;8;1;no leaf rehydration;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;40290;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;Europe;;0;0;16.8;;;1;;;;00:00.0;;adult;
Festuca pratensis;laboratory/greenhouse/garden experiment;19.8;8;1;no leaf rehydration;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;41343;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;Europe;;0;0;19.8;;;1;;;;00:00.0;;adult;
Lolium perenne;laboratory/greenhouse/garden experiment;22.2;8;1;no leaf rehydration;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;43540;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;Europe;;0;0;22.2;;;1;;;;00:00.0;;adult;
Festuca ovina;laboratory/greenhouse/garden experiment;16.8;8;1;no leaf rehydration;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;40171;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;Europe;;0;0;16.8;;;1;;;;00:00.0;;adult;
Bromus erectus;laboratory/greenhouse/garden experiment;17.6;8;1;unknown;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;40358;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;Europe;;0;0;17.6;;;1;;;;00:00.0;;adult;
Arrhenatherum elatius;laboratory/greenhouse/garden experiment;19.8;8;1;no leaf rehydration;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;40414;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;Europe;;0;0;19.8;;;1;;;;00:00.0;;adult;
Brachypodium pinnatum;laboratory/greenhouse/garden experiment;19.7;8;1;no leaf rehydration;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;40931;Arrendondo, J. Tulio(2003): Components of leaf elongation rate and their relationship to specific leaf area in ...;Europe;;0;0;19.7;;;1;;;;00:00.0;;adult;
Genista pilosa;field experiment;19.84;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;20915;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;0;0;19.84;;;1;;;;00:00.0;;adult;
Melica ciliata;field experiment;16.49;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;42479;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;0;0;16.49;;;1;;;;00:00.0;;adult;
Aegilops geniculata;field experiment;22.6;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;41112;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;22.6;;;1;;;;00:00.0;;adult;
Avena barbata;field experiment;25.2;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;40564;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;25.2;;;1;;;;00:00.0;;adult;
Carex hallerana;field experiment;17.1;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;37290;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;17.1;;;1;;;;00:00.0;;adult;
Convolvulus arvensis;field experiment;24.2;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;18911;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;24.2;;;1;;;;00:00.0;;adult;
Crataegus monogyna;field experiment;10.6;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;29980;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;10.6;;;1;;;;00:00.0;;adult;
Dactylis glomerata;field experiment;18.3;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;40290;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;18.3;;;1;;;;00:00.0;;adult;
Eryngium campestre;field experiment;8.6;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;1324;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;8.6;;;1;;;;00:00.0;;adult;
Medicago minima;field experiment;21.2;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;21911;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;21.2;;;1;;;;00:00.0;;adult;
Teucrium chamaedrys;field experiment;11.3;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;24813;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;11.3;;;1;;;;00:00.0;;adult;
Rubia peregrina;field experiment;13.8;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;31737;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;13.8;;;1;;;;00:00.0;;adult;
Bromus arvensis;field experiment;12.8;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;40609;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;12.8;;;1;;;;00:00.0;;adult;
Lilium martagon;field experiment;23.52;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;39063;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;0;0;23.52;;;1;;;;00:00.0;;adult;
Helianthemum nummularium;field experiment;14.7;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;18594;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;14.7;;;1;;;;00:00.0;;adult;
Lotus corniculatus;field experiment;18.2;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;21886;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;18.2;;;1;;;;00:00.0;;adult;
Thymus pulegioides;field experiment;16.3;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;24929;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;0;0;16.3;;;1;;;;00:00.0;;adult;
Rosa micrantha;field experiment;11.6;15;1;leaf rehydration;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;30571;Lavergne, Sébastian(2003): Do rock endemic and widespread plant species differ under the Leaf-Height-Seed...;FRANCE;0;3.42;43.46;11.6;;;1;;;;00:00.0;;adult;
