The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", aflv_name "age of first flowering", aof_valid "valid", ref_refname "reference", aof_comment "general comment", aof_minyears "Minumum years", aof_maxyears "Maximum years", or_origrefname "original reference" FROM (SELECT aflv.aflv_name, sbs_aof.sbs_sbsnumber, sbs_aof.sbs_sbsname, sbs_aof.m_methodname, sbs_aof.aof_valid, sbs_aof.ref_refname, sbs_aof.aof_comment, sbs_aof.aof_minyears, sbs_aof.aof_maxyears, sbs_aof.or_origrefname, sbs_aof.aof_sbsnumber FROM (SELECT ageoffirstfloweringtypeid AS aflv_id, ageoffirstfloweringtypename AS aflv_name FROM (SELECT ageoffirstfloweringtypeid, ageoffirstfloweringtypename from ageoffirstfloweringtype_lv)) aflv JOIN (SELECT aof_m.aof_categoryid, sbs.sbs_sbsnumber, sbs.sbs_sbsname, aof_m.m_methodname, aof_m.aof_valid, aof_m.ref_refname, aof_m.aof_comment, aof_m.aof_minyears, aof_m.aof_maxyears, aof_m.or_origrefname, aof_m.aof_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_aof.aof_categoryid, r_aof.aof_sbsnumber, m.m_methodname, r_aof.aof_valid, r_aof.ref_refname, r_aof.aof_comment, r_aof.aof_minyears, r_aof.aof_maxyears, r_aof.or_origrefname FROM (SELECT aof_orf.aof_categoryid, aof_orf.aof_sbsnumber, aof_orf.aof_methodid, aof_orf.aof_valid, r.ref_refname, aof_orf.aof_comment, aof_orf.aof_minyears, aof_orf.aof_maxyears, aof_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT aof.aof_categoryid, aof.aof_sbsnumber, aof.aof_methodid, aof.aof_valid, aof.aof_referenceid, aof.aof_comment, aof.aof_minyears, aof.aof_maxyears, orf.or_origrefname FROM (SELECT ageoffirstfloweringtypeid AS aof_categoryid, sbsnumber AS aof_sbsnumber, methodid AS aof_methodid, valid AS aof_valid, referenceid AS aof_referenceid, p_comment AS aof_comment, minvalue AS aof_minyears, maxvalue AS aof_maxyears, origreferenceid AS aof_origreferenceid FROM (SELECT sbsnumber, taxonid, ageoffirstfloweringtypeid, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, ledaid, batchid, ageoffirstfloweringid, minvalue, maxvalue FROM ageoffirstflowering natural join taxontosbsassignment WHERE valid IN (-2, 1, 2, -8, 2, -8))) aof FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON aof.aof_origreferenceid = orf.or_origrefid) aof_orf ON r.ref_referenceid = aof_orf.aof_referenceid) r_aof LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_aof.aof_methodid = m.m_methodid) aof_m ON sbs.sbs_sbsnumber = aof_m.aof_sbsnumber) sbs_aof ON aflv.aflv_id = sbs_aof.aof_categoryid) ORDER BY sbs_sbsname
on Mon Oct 27 17:54:56 CET 2008 .

SBS name;SBS number;general method;age of first flowering;valid;reference;general comment;Minumum years;Maximum years;original reference
Abutilon theophrasti;25800;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Acer campestre;811;observation (like obvious taxonomical traits);Over 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Jones, E. W. (1944): no title given, publication in Journal of Ecology issue: 32 pages: 215-252 [32]
Acer campestre;811;unknown;Over 5 years;1;Jones, E. W.(1944): Biological flora of the British Isles: Acer campestre L. [32];;;;Jones, E. W.(1944): Biological flora of the British Isles: Acer campestre L. [32]
Acer campestre;811;unknown;Over 5 years;1;BIOPOP April 2005;;15;30;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Acer campestre;811;unknown;Over 5 years;1;BIOPOP April 2005;;15;30;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Acer campestre;811;unknown;Over 5 years;1;BIOPOP April 2005;;6;15;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Acer campestre;811;unknown;Over 5 years;1;BIOPOP April 2005;;15;30;Jones, E. W. (1944): Biological flora of the British Isles: Acer L.
Acer negundo;785;unknown;Over 5 years;1;BIOPOP April 2005;;6;15;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Acer pseudoplatanus;803;observation (like obvious taxonomical traits);Over 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Taylor, N. W.(1985): The Sycamore (Acer pseudoplatanus) in Britain - its natural history and value to wildlife. Discussion papers in conservation no 42, University College London []
Acer pseudoplatanus;803;observation (like obvious taxonomical traits);Over 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Jones, E. W. (1944): no title given, publication in Journal of Ecology issue: 32 pages: 215-252 [32]
Acer pseudoplatanus;803;unknown;Over 5 years;1;BIOPOP April 2005;;30;0;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Acer pseudoplatanus;803;unknown;Over 5 years;1;BIOPOP April 2005;;15;30;Jones, E. W. (1944): Biological flora of the British Isles: Acer L.
Aceras anthropophorum;39442;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Wells, T. C. E. (unknown e-mail address)
Aceras anthropophorum;39442;observation (like obvious taxonomical traits);Over 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Wells, T. C. E. (unknown e-mail address)
Achillea millefolium;3013;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): non-British data;;;Warwick, S. I. (1982): no title given, publication in Canadian Journal of Plant Science issue: 62 pages: 163-182 [62]
Achillea millefolium;3013;unknown;Between 1 and 5 years;1;BIOPOP April 2005;Value: mean;1;2;Warwick, S.I. (1982): The biology of Canadian weeds. 52. Achillea millefolium L. S.L.
