The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", bra_typename "branching", bra_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT bra_m.bra_typename, sbs.sbs_sbsnumber, bra_m.m_methodname, sbs.sbs_sbsname, bra_m.bra_valid, bra_m.ref_refname, bra_m.or_origrefname, bra_m.bra_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_bra.bra_sbsnumber, r_bra.bra_typename, m.m_methodname, r_bra.bra_valid, r_bra.ref_refname, r_bra.or_origrefname FROM (SELECT bra_orf.bra_sbsnumber, bra_orf.bra_typename, bra_orf.bra_methodid, bra_orf.bra_valid, r.ref_refname, bra_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT bra.bra_sbsnumber, bra.bra_typename, bra.bra_methodid, bra.bra_valid, bra.bra_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS bra_sbsnumber, branchingtypename AS bra_typename, methodid AS bra_methodid, valid AS bra_valid, referenceid AS bra_referenceid, origreferenceid AS bra_origreferenceid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, branchingtypeid, created_when, updated_when, valid, validsince, validuntil, ledaid, case when branchingtypeid = 0 then 'unknown' when branchingtypeid = 1 then 'yes' when branchingtypeid = 2 then 'no' else NULL end as branchingtypename, branchingid
from branching natural join taxontosbsassignment WHERE valid IN (-2, 1))) bra FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON bra.bra_origreferenceid = orf.or_origrefid) bra_orf ON r.ref_referenceid = bra_orf.bra_referenceid) r_bra LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_bra.bra_methodid = m.m_methodid) bra_m ON sbs.sbs_sbsnumber = bra_m.bra_sbsnumber)
on Mon Apr 26 11:00:36 CEST 2010 .

SBS number;general method;SBS name;branching;valid;reference;original reference
16443;estimation (following LEDA data standards);Cucubalus baccifer;yes;1;Barkman, J.J.(1988): New systems of plant growth forms and phenological plant types;Barkman, J.J.(1988): New systems of plant growth forms and phenological plant types
26711;derivation from morphologies or other plant traits;Ranunculus tripartitus;yes;1;Barkman, J.J.(1988): New systems of plant growth forms and phenological plant types;Barkman, J.J.(1988): New systems of plant growth forms and phenological plant types
40171;derivation from photos or drawings;Festuca ovina;no;1;BIOPOP April 2005;Conert, H. C. (2000): Pareys Gr‰serbuch: Die Gr‰ser Deutschlands erkennen und bestimmen
40398;derivation from photos or drawings;Ammophila arenaria;no;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
40867;derivation from photos or drawings;Alopecurus aequalis;no;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
41151;derivation from photos or drawings;Avena sativa;no;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
37871;derivation from photos or drawings;Carex lepidocarpa;no;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
42412;derivation from photos or drawings;Phragmites australis;no;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
35847;derivation from photos or drawings;Arum maculatum;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
36245;derivation from photos or drawings;Luzula multiflora;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
36273;derivation from photos or drawings;Luzula luzuloides;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
36280;derivation from photos or drawings;Luzula campestris;no;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
31782;derivation from photos or drawings;Galium mollugo;yes;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
