The following table was created as response to the SQL query
SELECT m_methodname "general method", sbs_sbsname "SBS name", ref_refname "reference", bslv1_name "BBS above ground", bslv2_name "BBS below ground", bbs_valid "valid", bslv3_name "budb seas. at soil surface", sbs_sbsnumber "SBS number", bslv6_name "budb. seas at layer -10-0cm" FROM (SELECT sbs_bbs.bbs_valid, m.m_methodname, sbs_bbs.sbs_sbsnumber, sbs_bbs.sbs_sbsname, sbs_bbs.ref_refname, sbs_bbs.bslv1_name, sbs_bbs.bslv2_name, sbs_bbs.bslv3_name, sbs_bbs.bslv6_name, sbs_bbs.bbs_sbsnumber FROM (SELECT r_bbs.bbs_valid, r_bbs.bbs_methodid, sbs.sbs_sbsnumber, sbs.sbs_sbsname, r_bbs.ref_refname, r_bbs.bslv1_name, r_bbs.bslv2_name, r_bbs.bslv3_name, r_bbs.bslv6_name, r_bbs.bbs_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT bbs_bslv1.bbs_sbsnumber, bbs_bslv1.bbs_valid, bbs_bslv1.bbs_methodid, r.ref_refname, bbs_bslv1.bslv1_name, bbs_bslv1.bslv2_name, bbs_bslv1.bslv3_name, bbs_bslv1.bslv6_name FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT bbs_bslv2.bbs_sbsnumber, bbs_bslv2.bbs_valid, bbs_bslv2.bbs_methodid, bbs_bslv2.bbs_referenceid, bslv1.bslv1_name, bbs_bslv2.bslv2_name, bbs_bslv2.bslv3_name, bbs_bslv2.bslv6_name FROM (SELECT bbs_bslv3.bbs_sbsnumber, bbs_bslv3.bbs_valid, bbs_bslv3.bbs_methodid, bbs_bslv3.bbs_referenceid, bbs_bslv3.bbs_abovegroundid, bslv2.bslv2_name, bbs_bslv3.bslv3_name, bbs_bslv3.bslv6_name FROM (SELECT bbs_bslv6.bbs_sbsnumber, bbs_bslv6.bbs_valid, bbs_bslv6.bbs_methodid, bbs_bslv6.bbs_referenceid, bbs_bslv6.bbs_abovegroundid, bbs_bslv6.bbs_belowgroundid, bslv3.bslv3_name, bbs_bslv6.bslv6_name FROM (SELECT bbs.bbs_sbsnumber, bbs.bbs_valid, bbs.bbs_methodid, bbs.bbs_referenceid, bbs.bbs_abovegroundid, bbs.bbs_belowgroundid, bbs.bbs_soilsurfaceid, bslv6.bslv6_name FROM (SELECT sbsnumber AS bbs_sbsnumber, valid AS bbs_valid, methodid AS bbs_methodid, referenceid AS bbs_referenceid, above_ground_typeid AS bbs_abovegroundid, below_ground_typeid AS bbs_belowgroundid, soilsurface_typeid AS bbs_soilsurfaceid, below_upper_typeid AS bbs_belowupperid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, above_ground_typeid, below_ground_typeid, above_upper_typeid, above_lower_typeid, soilsurface_typeid, below_upper_typeid, below_lower_typeid, created_when, updated_when, valid, validsince, validuntil, ledaid, budbankseasonalityid
from budbankseasonality natural join taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) bbs FULL JOIN (SELECT budbankseasonalitytypeid AS bslv6_id, budbankseasonalitytypename AS bslv6_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv6 ON bbs.bbs_belowupperid = bslv6.bslv6_id) bbs_bslv6 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv3_id, budbankseasonalitytypename AS bslv3_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv3 ON bbs_bslv6.bbs_soilsurfaceid = bslv3.bslv3_id) bbs_bslv3 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv2_id, budbankseasonalitytypename AS bslv2_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv2 ON bbs_bslv3.bbs_belowgroundid = bslv2.bslv2_id) bbs_bslv2 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv1_id, budbankseasonalitytypename AS bslv1_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv1 ON bbs_bslv2.bbs_abovegroundid = bslv1.bslv1_id) bbs_bslv1 ON r.ref_referenceid = bbs_bslv1.bbs_referenceid) r_bbs ON sbs.sbs_sbsnumber = r_bbs.bbs_sbsnumber) sbs_bbs LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON sbs_bbs.bbs_methodid = m.m_methodid) ORDER BY sbs_sbsname
on Thu Mar 13 09:19:18 CET 2008 .

general method;SBS name;reference;BBS above ground;BBS below ground;valid;budb seas. at soil surface;SBS number;budb. seas at layer -10-0cm
observation (like obvious taxonomical traits);Acer campestre;CLO-PLA records from September 2005;;potential;0;;811;potential
observation (like obvious taxonomical traits);Acer campestre;CLO-PLA records from September 2005;perennial;potential;0;;811;potential
observation (like obvious taxonomical traits);Acer campestre;CLO-PLA records from September 2005;perennial;potential;0;;811;potential
unknown;Acer pseudoplatanus;CLO-PLA records from September 2005;perennial;potential;0;;803;potential
derivation from photos or drawings;Aceras anthropophorum;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39442;seasonal
observation (like obvious taxonomical traits);Aceras anthropophorum;CLO-PLA records from September 2005;;seasonal;0;;39442;seasonal
derivation from photos or drawings;Achillea atrata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;4794;perennial
observation (like obvious taxonomical traits);Achillea atrata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;4794;perennial
derivation from photos or drawings;Achillea clavennae;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;3559;perennial
derivation from photos or drawings;Achillea clavennae;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;3559;seasonal
observation (like obvious taxonomical traits);Achillea crithmifolia;CLO-PLA records from September 2005;seasonal;perennial & potential;0;seasonal;3011;perennial & potential
derivation from photos or drawings;Achillea macrophylla;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;4009;seasonal
derivation from photos or drawings;Achillea millefolium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;3013;perennial
observation (like obvious taxonomical traits);Achillea millefolium;CLO-PLA records from September 2005;;perennial;0;;3013;perennial
unknown;Achillea millefolium;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;3013;perennial
unknown;Achillea millefolium;CLO-PLA records from September 2005;;perennial;0;;3013;perennial
observation (like obvious taxonomical traits);Achillea millefolium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;3013;perennial
observation (like obvious taxonomical traits);Achillea millefolium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;3013;perennial
observation (like obvious taxonomical traits);Achillea millefolium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;3013;perennial
observation (like obvious taxonomical traits);Achillea nana;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;4923;perennial
derivation from photos or drawings;Achillea nobilis;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;3014;perennial & potential
derivation from photos or drawings;Achillea nobilis;CLO-PLA records from September 2005;seasonal;perennial & potential;0;seasonal;3014;perennial & potential
observation (like obvious taxonomical traits);Achillea nobilis;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;3014;perennial
derivation from photos or drawings;Achillea oxyloba;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;3186;perennial
derivation from photos or drawings;Achillea oxyloba;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;3186;perennial
derivation from photos or drawings;Achillea oxyloba;CLO-PLA records from September 2005;perennial;perennial;0;perennial;3186;perennial
derivation from photos or drawings;Achillea pannonica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;5321;perennial
derivation from photos or drawings;Achillea pannonica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;5321;perennial
derivation from photos or drawings;Achillea pannonica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;5321;perennial
derivation from photos or drawings;Achillea ptarmica;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;4799;perennial
observation (like obvious taxonomical traits);Achillea ptarmica;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;4799;perennial
derivation from photos or drawings;Achillea setacea;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;5941;perennial
observation (like obvious taxonomical traits);Achillea tomentosa;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;4549;perennial & potential
derivation from photos or drawings;Achnatherum calamagrostis;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;41606;perennial
observation (like obvious taxonomical traits);Achnatherum calamagrostis;CLO-PLA records from September 2005;;perennial;0;;41606;perennial
derivation from photos or drawings;Acinos alpinus;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;24605;perennial
derivation from photos or drawings;Acinos alpinus;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;24605;perennial
derivation from photos or drawings;Acinos alpinus;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;24605;perennial
derivation from photos or drawings;Acinos arvensis;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;24493;perennial
derivation from photos or drawings;Acinos arvensis;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;24493;seasonal
observation (like obvious taxonomical traits);Acinos arvensis;CLO-PLA records from September 2005;seasonal;;0;seasonal;24493;
derivation from photos or drawings;Acinos arvensis;CLO-PLA records from September 2005;seasonal;;0;seasonal;24493;
