The following table was created as response to the SQL query
SELECT m_methodname "general method", sbs_sbsname "SBS name", ref_refname "reference", bclv3_name "buds in layer >10 cm", bclv4_name "buds in layer 1-10cm", bclv6_name "buds in layer -10-0cm", bclv7_name "buds in layer < -10cm", bclv1_name "buds above ground", bclv5_name "buds at soil surface", bclv2_name "buds below ground", bbv_valid "valid", sbs_sbsnumber "SBS number" FROM (SELECT sbs_bbv.bbv_valid, m.m_methodname, sbs_bbv.sbs_sbsnumber, sbs_bbv.sbs_sbsname, sbs_bbv.ref_refname, sbs_bbv.bclv3_name, sbs_bbv.bclv4_name, sbs_bbv.bclv6_name, sbs_bbv.bclv7_name, sbs_bbv.bclv1_name, sbs_bbv.bclv5_name, sbs_bbv.bclv2_name, sbs_bbv.bbv_sbsnumber FROM (SELECT r_bbv.bbv_valid, r_bbv.bbv_methodid, sbs.sbs_sbsnumber, sbs.sbs_sbsname, r_bbv.ref_refname, r_bbv.bclv3_name, r_bbv.bclv4_name, r_bbv.bclv6_name, r_bbv.bclv7_name, r_bbv.bclv1_name, r_bbv.bclv5_name, r_bbv.bclv2_name, r_bbv.bbv_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT bbv_bclv3.bbv_sbsnumber, bbv_bclv3.bbv_valid, bbv_bclv3.bbv_methodid, r.ref_refname, bbv_bclv3.bclv3_name, bbv_bclv3.bclv4_name, bbv_bclv3.bclv6_name, bbv_bclv3.bclv7_name, bbv_bclv3.bclv1_name, bbv_bclv3.bclv5_name, bbv_bclv3.bclv2_name FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT bbv_bclv4.bbv_sbsnumber, bbv_bclv4.bbv_valid, bbv_bclv4.bbv_methodid, bbv_bclv4.bbv_referenceid, bclv3.bclv3_name, bbv_bclv4.bclv4_name, bbv_bclv4.bclv6_name, bbv_bclv4.bclv7_name, bbv_bclv4.bclv1_name, bbv_bclv4.bclv5_name, bbv_bclv4.bclv2_name FROM (SELECT bbv_bclv6.bbv_sbsnumber, bbv_bclv6.bbv_valid, bbv_bclv6.bbv_methodid, bbv_bclv6.bbv_referenceid, bbv_bclv6.bbv_aboveupperid, bclv4.bclv4_name, bbv_bclv6.bclv6_name, bbv_bclv6.bclv7_name, bbv_bclv6.bclv1_name, bbv_bclv6.bclv5_name, bbv_bclv6.bclv2_name FROM (SELECT bbv_bclv7.bbv_sbsnumber, bbv_bclv7.bbv_valid, bbv_bclv7.bbv_methodid, bbv_bclv7.bbv_referenceid, bbv_bclv7.bbv_aboveupperid, bbv_bclv7.bbv_abovelowerid, bclv6.bclv6_name, bbv_bclv7.bclv7_name, bbv_bclv7.bclv1_name, bbv_bclv7.bclv5_name, bbv_bclv7.bclv2_name FROM (SELECT bbv_bcflv1.bbv_sbsnumber, bbv_bcflv1.bbv_valid, bbv_bcflv1.bbv_methodid, bbv_bcflv1.bbv_referenceid, bbv_bcflv1.bbv_aboveupperid, bbv_bcflv1.bbv_abovelowerid, bbv_bcflv1.bbv_belowupperid, bclv7.bclv7_name, bbv_bcflv1.bclv1_name, bbv_bcflv1.bclv5_name, bbv_bcflv1.bclv2_name FROM (SELECT bbv_bclv5.bbv_sbsnumber, bbv_bclv5.bbv_valid, bbv_bclv5.bbv_methodid, bbv_bclv5.bbv_referenceid, bbv_bclv5.bbv_aboveupperid, bbv_bclv5.bbv_abovelowerid, bbv_bclv5.bbv_belowupperid, bbv_bclv5.bbv_belowlowerid, bcflv1.bclv1_name, bbv_bclv5.bclv5_name, bbv_bclv5.bclv2_name FROM (SELECT bbv_bclv2.bbv_sbsnumber, bbv_bclv2.bbv_valid, bbv_bclv2.bbv_methodid, bbv_bclv2.bbv_referenceid, bbv_bclv2.bbv_aboveupperid, bbv_bclv2.bbv_abovelowerid, bbv_bclv2.bbv_belowupperid, bbv_bclv2.bbv_belowlowerid, bbv_bclv2.bbv_aboveid, bclv5.bclv5_name, bbv_bclv2.bclv2_name FROM (SELECT bbv.bbv_sbsnumber, bbv.bbv_valid, bbv.bbv_methodid, bbv.bbv_referenceid, bbv.bbv_aboveupperid, bbv.bbv_abovelowerid, bbv.bbv_belowupperid, bbv.bbv_belowlowerid, bbv.bbv_aboveid, bbv.bbv_soilsurfaceid, bclv2.bclv2_name FROM (SELECT sbsnumber AS bbv_sbsnumber, valid AS bbv_valid, methodid AS bbv_methodid, referenceid AS bbv_referenceid, above_upper_typeid AS bbv_aboveupperid, above_lower_typeid AS bbv_abovelowerid, below_upper_typeid AS bbv_belowupperid, below_lower_typeid AS bbv_belowlowerid, above_ground_typeid AS bbv_aboveid, soilsurface_typeid AS bbv_soilsurfaceid, below_ground_typeid AS bbv_belowid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, above_ground_typeid, below_ground_typeid, above_upper_typeid, above_lower_typeid, soilsurface_typeid, below_upper_typeid, below_lower_typeid, created_when, updated_when, valid, validsince, validuntil, ledaid, budbankverticaldistributionid
from budbankverticaldistribution natural join taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) bbv FULL JOIN (SELECT budsperclonalfragmentid AS bclv2_id, budsperclonalfragmentname AS bclv2_name FROM (select budsperclonalfragmentid, budsperclonalfragmentname from budsperclonalfragment_lv)) bclv2 ON bbv.bbv_belowid = bclv2.bclv2_id) bbv_bclv2 FULL JOIN (SELECT budsperclonalfragmentid AS bclv5_id, budsperclonalfragmentname AS bclv5_name FROM (select budsperclonalfragmentid, budsperclonalfragmentname from budsperclonalfragment_lv)) bclv5 ON bbv_bclv2.bbv_soilsurfaceid = bclv5.bclv5_id) bbv_bclv5 FULL JOIN (SELECT budsperclonalfragmentid AS bclv1_id, budsperclonalfragmentname AS bclv1_name FROM (select budsperclonalfragmentid, budsperclonalfragmentname from budsperclonalfragment_lv)) bcflv1 ON bbv_bclv5.bbv_aboveid = bcflv1.bclv1_id) bbv_bcflv1 FULL JOIN (SELECT budsperclonalfragmentid AS bclv7_id, budsperclonalfragmentname AS bclv7_name FROM (select budsperclonalfragmentid, budsperclonalfragmentname from budsperclonalfragment_lv)) bclv7 ON bbv_bcflv1.bbv_belowlowerid = bclv7.bclv7_id) bbv_bclv7 FULL JOIN (SELECT budsperclonalfragmentid AS bclv6_id, budsperclonalfragmentname AS bclv6_name FROM (select budsperclonalfragmentid, budsperclonalfragmentname from budsperclonalfragment_lv)) bclv6 ON bbv_bclv7.bbv_belowupperid = bclv6.bclv6_id) bbv_bclv6 FULL JOIN (SELECT budsperclonalfragmentid AS bclv4_id, budsperclonalfragmentname AS bclv4_name FROM (select budsperclonalfragmentid, budsperclonalfragmentname from budsperclonalfragment_lv)) bclv4 ON bbv_bclv6.bbv_abovelowerid = bclv4.bclv4_id) bbv_bclv4 FULL JOIN (SELECT budsperclonalfragmentid AS bclv3_id, budsperclonalfragmentname AS bclv3_name FROM (select budsperclonalfragmentid, budsperclonalfragmentname from budsperclonalfragment_lv)) bclv3 ON bbv_bclv4.bbv_aboveupperid = bclv3.bclv3_id) bbv_bclv3 ON r.ref_referenceid = bbv_bclv3.bbv_referenceid) r_bbv ON sbs.sbs_sbsnumber = r_bbv.bbv_sbsnumber) sbs_bbv LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON sbs_bbv.bbv_methodid = m.m_methodid) ORDER BY sbs_sbsname
on Thu Mar 13 09:16:11 CET 2008 .

general method;SBS name;reference;buds in layer >10 cm;buds in layer 1-10cm;buds in layer -10-0cm;buds in layer < -10cm;buds above ground;buds at soil surface;buds below ground;valid;SBS number
observation (like obvious taxonomical traits);Acer campestre;CLO-PLA test records from June 2005;none;none;;>10;none;;>10;0;811
observation (like obvious taxonomical traits);Acer campestre;CLO-PLA test records from June 2005;none;none;none;>10;none;none;>=0;0;811
unknown;Acer pseudoplatanus;CLO-PLA test records from June 2005;none;none;none;>10;none;none;>=0;0;803
derivation from photos or drawings;Aceras anthropophorum;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;39442
observation (like obvious taxonomical traits);Aceras anthropophorum;CLO-PLA test records from June 2005;;1-10;;;1-10;;;0;39442
derivation from photos or drawings;Achillea atrata;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;4794
observation (like obvious taxonomical traits);Achillea atrata;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;4794
derivation from photos or drawings;Achillea clavennae;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3559
derivation from photos or drawings;Achillea clavennae;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3559
observation (like obvious taxonomical traits);Achillea crithmifolia;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3011
derivation from photos or drawings;Achillea macrophylla;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;4009
derivation from photos or drawings;Achillea millefolium;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3013
observation (like obvious taxonomical traits);Achillea millefolium;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3013
observation (like obvious taxonomical traits);Achillea millefolium;CLO-PLA test records from June 2005;none;>10;;;>=0;;;0;3013
observation (like obvious taxonomical traits);Achillea millefolium;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3013
observation (like obvious taxonomical traits);Achillea millefolium;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3013
unknown;Achillea millefolium;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3013
unknown;Achillea millefolium;CLO-PLA test records from June 2005;>10;>10;;;>10;;;0;3013
observation (like obvious taxonomical traits);Achillea nana;CLO-PLA test records from June 2005;none;>10;1-10;none;>=0;1-10;0-10;0;4923
derivation from photos or drawings;Achillea nobilis;CLO-PLA test records from June 2005;none;1-10;1-10;none;0-10;1-10;0-10;0;3014
observation (like obvious taxonomical traits);Achillea nobilis;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3014
derivation from photos or drawings;Achillea nobilis;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3014
derivation from photos or drawings;Achillea oxyloba;CLO-PLA test records from June 2005;none;>10;1-10;none;>=0;1-10;0-10;0;3186
derivation from photos or drawings;Achillea oxyloba;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;3186
derivation from photos or drawings;Achillea oxyloba;CLO-PLA test records from June 2005;none;>10;1-10;none;>=0;1-10;0-10;0;3186
derivation from photos or drawings;Achillea pannonica;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;5321
derivation from photos or drawings;Achillea pannonica;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;5321
derivation from photos or drawings;Achillea pannonica;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;5321
derivation from photos or drawings;Achillea ptarmica;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;4799
observation (like obvious taxonomical traits);Achillea ptarmica;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;4799
derivation from photos or drawings;Achillea setacea;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;5941
observation (like obvious taxonomical traits);Achillea tomentosa;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;>10;1-10;0;4549
derivation from photos or drawings;Achnatherum calamagrostis;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;41606
observation (like obvious taxonomical traits);Achnatherum calamagrostis;CLO-PLA test records from June 2005;none;>10;;;>=0;;;0;41606
derivation from photos or drawings;Acinos alpinus;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;24605
derivation from photos or drawings;Acinos alpinus;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;24605
derivation from photos or drawings;Acinos alpinus;CLO-PLA test records from June 2005;none;>10;1-10;none;>=0;1-10;0-10;0;24605
derivation from photos or drawings;Acinos arvensis;CLO-PLA test records from June 2005;none;none;1-10;1-10;0-10;1-10;1-10;0;24493
derivation from photos or drawings;Acinos arvensis;CLO-PLA test records from June 2005;none;>10;1-10;none;>=0;1-10;0-10;0;24493
derivation from photos or drawings;Acinos arvensis;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;24493
derivation from photos or drawings;Acinos arvensis;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;24493
observation (like obvious taxonomical traits);Acinos arvensis;CLO-PLA test records from June 2005;none;none;1-10;none;0-10;1-10;0-10;0;24493
observation (like obvious taxonomical traits);Aconitum anthora;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;29103
derivation from photos or drawings;Aconitum napellus;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;27279
observation (like obvious taxonomical traits);Aconitum napellus;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;27279
observation (like obvious taxonomical traits);Aconitum septentrionale;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;62645
observation (like obvious taxonomical traits);Aconitum septentrionale;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;62645
observation (like obvious taxonomical traits);Aconitum septentrionale;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;;1-10;0;62645
derivation from photos or drawings;Aconitum variegatum;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;27421
derivation from photos or drawings;Aconitum variegatum;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;27421
derivation from photos or drawings;Aconitum variegatum;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;27421
observation (like obvious taxonomical traits);Aconitum variegatum;CLO-PLA test records from June 2005;;;1-10;>10;;;1-10;0;27421
observation (like obvious taxonomical traits);Aconitum variegatum;CLO-PLA test records from June 2005;;;1-10;1-10;;;1-10;0;27421
derivation from photos or drawings;Acorus calamus;CLO-PLA test records from June 2005;none;>10;none;none;>=0;1-10;none;0;35825
observation (like obvious taxonomical traits);Acorus calamus;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;1-10;1-10;0;35825
derivation from photos or drawings;Acroptilon repens;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;4695
unknown;Acroptilon repens;CLO-PLA test records from June 2005;none;1-10;1-10;1-10;0-10;1-10;1-10;0;4695
derivation from photos or drawings;Actaea spicata;CLO-PLA test records from June 2005;none;1-10;1-10;none;0-10;1-10;0-10;0;27324
derivation from photos or drawings;Actaea spicata;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;none;1-10;0;27324
derivation from photos or drawings;Actaea spicata;CLO-PLA test records from June 2005;none;>10;1-10;1-10;>=0;none;1-10;0;27324
derivation from photos or drawings;Actaea spicata;CLO-PLA test records from June 2005;none;>10;none;1-10;>=0;1-10;0-10;0;27324
