The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", dtlv_name "dispersal type", dvlv_name "dispersal vector", dvglv_genname "gen. dispersal vector", dglv_genname "gen. dispersal type", byc_avgsingle "BYC avg. float. cap. (sv) [%]" FROM (SELECT ROUND(AVG(byc_singlevalue),2) AS byc_avgsingle, sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname FROM (SELECT case when byc_median is not null then byc_median when byc_mean is not null then byc_mean when byc_minimum is not null and byc_maximum is not null then (byc_minimum + byc_maximum) / 2 when byc_minimum is not null then byc_minimum when byc_maximum is not null then byc_maximum else null end AS byc_singlevalue, sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname FROM (SELECT sbs_dis.sbs_sbsnumber, sbs_dis.sbs_sbsname, sbs_dis.dtlv_name, sbs_dis.dvlv_name, sbs_dis.dvglv_genname, sbs_dis.dglv_genname, byc.byc_median, byc.byc_mean, byc.byc_minimum, byc.byc_maximum FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, dis_dtlv.dtlv_name, dis_dtlv.dvlv_name, dis_dtlv.dvglv_genname, dis_dtlv.dglv_genname FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs LEFT JOIN (SELECT dis_dvlv.dis_sbsnumber, dtlv.dtlv_name, dis_dvlv.dvlv_name, dis_dvlv.dvglv_genname, dis_dvlv.dglv_genname FROM (SELECT dis_dvglv.dis_sbsnumber, dis_dvglv.dis_dtid, dvlv.dvlv_name, dis_dvglv.dvglv_genname, dis_dvglv.dglv_genname FROM (SELECT dis_dtglv.dis_sbsnumber, dis_dtglv.dis_dtid, dis_dtglv.dis_dvid, dvglv.dvglv_genname, dis_dtglv.dglv_genname FROM (SELECT dis.dis_sbsnumber, dis.dis_dtid, dis.dis_dvid, dis.dis_gendvid, dtglv.dglv_genname FROM (SELECT sbsnumber AS dis_sbsnumber, dispersaltypeid AS dis_dtid, dispersalvectorid AS dis_dvid, gendispvectorid AS dis_gendvid, gendisptypeid AS dis_gendtid FROM (SELECT sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, p_comment, dispersalunitid, dispersaltypeid, dispersalvectorid, dispersalunitid - mod(dispersalunitid,10) as gendispunitid, dispersaltypeid - mod(dispersaltypeid,10) as gendisptypeid, dispersalvectorid - mod(dispersalvectorid,100) as gendispvectorid, created_when, updated_when, valid, validsince, validuntil, ledaid, dispersalid FROM dispersal NATURAL JOIN taxontosbsassignment)) dis FULL JOIN (SELECT dispersaltypeid AS dglv_genid, dispersaltypename AS dglv_genname FROM (select dispersaltypeid, dispersaltypename, generaliseddispersaltype, explanation, case when lddid = 0 then 'no' when lddid = 1 then 'yes' else 'unknown' end as dispersaltypelddpotential from dispersaltype_lv)) dtglv ON dis.dis_gendtid = dtglv.dglv_genid) dis_dtglv FULL JOIN (SELECT dispersalvectorid AS dvglv_genid, dispersalvectorname AS dvglv_genname FROM (select dispersalvectorid, dispersalvectorname, longdistancedispersal from dispersalvector_lv)) dvglv ON dis_dtglv.dis_gendvid = dvglv.dvglv_genid) dis_dvglv FULL JOIN (SELECT dispersalvectorid AS dvlv_id, dispersalvectorname AS dvlv_name FROM (select dispersalvectorid, dispersalvectorname, case when longdistancedispersal = 1 then 'yes' when longdistancedispersal = 0 then 'no' else 'unknown' end as longdistancedispersal from dispersalvector_lv)) dvlv ON dis_dvglv.dis_dvid = dvlv.dvlv_id) dis_dvlv FULL JOIN (SELECT dispersaltypeid AS dtlv_id, dispersaltypename AS dtlv_name FROM (select dispersaltypeid, dispersaltypename, generaliseddispersaltype, explanation, case when lddid = 0 then 'no' when lddid = 1 then 'yes' else 'unknown' end as dispersaltypelddpotential from dispersaltype_lv)) dtlv ON dis_dvlv.dis_dtid = dtlv.dtlv_id) dis_dtlv ON sbs.sbs_sbsnumber = dis_dtlv.dis_sbsnumber) sbs_dis LEFT JOIN (SELECT sbsnumber AS byc_sbsnumber, median AS byc_median, mean AS byc_mean, minimum AS byc_minimum, maximum AS byc_maximum, valid AS byc_valid FROM (select SBSNUMBER, DISPERSALMEASUREMENTID, TIMESTEPMINUTES, TIMESTEPINTERVAL || ' - ' || TIMESTEPNAME AS TIMESTEPCODEANDNAME, N, REPLICATES, MEAN, MEDIAN, MINIMUM, MAXIMUM, STDDEVIATION, STDERROR, P_COMMENT, CREATED_WHEN, UPDATED_WHEN, BATCHID, UPDATEDWHO, REFERENCEID, METHODID, TAXONID, ORIGREFERENCEID, HABITATTYPEID, GEOREFID, VALID, VALIDSINCE, VALIDUNTIL, LEDAID, DISPERSALID, DISPERSALPOTENTIAL, ORIGINALDISPERSALVECTORVALUE, DISPERSALVECTORID, dispersalvectorid - mod(dispersalvectorid,100) as gendispvectorid, DISPERSALTYPEID, dispersaltypeid - mod(dispersaltypeid,10) as gendisptypeid,
DISPERSALUNITID, dispersalunitid - mod(dispersalunitid,10) as gendispersalunitid from timestep_lv natural right join (SELECT SBSNUMBER, DISPERSALMEASUREMENTID, TIMESTEPINMINUTES as timestepminutes, N, REPLICATES, MEAN, MEDIAN, MINIMUM, MAXIMUM, STDDEVIATION, STDERROR, P_COMMENT, CREATED_WHEN, UPDATED_WHEN, BATCHID, UPDATEDWHO, REFERENCEID, METHODID, TAXONID, ORIGREFERENCEID, HABITATTYPEID, GEOREFID, VALID, VALIDSINCE, VALIDUNTIL, LEDAID, DISPERSALID, DISPERSALPOTENTIAL, ORIGINALDISPERSALVECTORVALUE, DISPERSALVECTORID, ORIGINALDISPERSALTYPEVALUE, DISPERSALTYPEID, DISPERSALUNITID FROM buoyancy_dispersal natural join taxontosbsassignment)
 WHERE valid IN (-2, 1, 2, -8, 2, -8))) byc ON sbs_dis.sbs_sbsnumber = byc.byc_sbsnumber)) GROUP BY sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname) ORDER BY sbs_sbsname
on Fri Feb 05 10:05:29 CET 2010 .

SBS name;SBS number;dispersal type;dispersal vector;gen. dispersal vector;gen. dispersal type;BYC avg. float. cap. (sv) [%]
Abies alba;697;;;;;
Abies balsamea;699;;;;;
Abies cephalonica;633;;;;;
Abies grandis;634;;;;;
Abies lasiocarpa;637;;;;;
Abies nordmanniana;639;;;;;
Abies procera;642;;;;;
Abies sibirica;644;;;;;
Abutilon theophrasti;25800;hemerochor;;;hemerochor;
Abutilon theophrasti;25800;speirochor;   seed contamination;man;hemerochor;
Acacia dealbata;19667;;;;;
Acacia karoo;21689;;;;;
Acacia longifolia;20740;;;;;
Acacia mearnsii;21690;;;;;
Acacia melanoxylon;20741;;;;;
Acacia retinodes;19670;;;;;
Acacia saligna;20743;;;;;
Acaena anserinifolia;31004;epizoochor;domestic animal;domestic animal;zoochor;
Acaena anserinifolia;31004;epizoochor;;;zoochor;
Acaena macrostemon;61887;epizoochor;domestic animal;domestic animal;zoochor;
Acaena macrostemon;61887;epizoochor;;;zoochor;
Acalypha virginica;20326;dysochor;   ant;invertebrates;zoochor;
Acalypha virginica;20326;epizoochor;bird;bird;zoochor;
Acanthus mollis;843;;;;;
Acanthus spinosus;845;;;;;
Acer campestre;811;dysochor;   dormouse;small mammal in the wild;zoochor;71.5
Acer campestre;811;dysochor;   mouse;small mammal in the wild;zoochor;71.5
Acer campestre;811;dysochor;   pacarana;small mammal in the wild;zoochor;71.5
Acer campestre;811;dysochor;bird;bird;zoochor;71.5
Acer campestre;811;epizoochor;   cattle;domestic animal;zoochor;71.5
Acer campestre;811;epizoochor;   sheep;domestic animal;zoochor;71.5
Acer campestre;811;ethelochor;;;hemerochor;71.5
Acer campestre;811;meteorochor;;;meteorochor;71.5
Acer campestre;811;nautochor;   shaken fresh water;water;nautochor;71.5
Acer cappadocicum;61888;;;;;
Acer ginnala;60844;;;;;
Acer monspessulanum;783;;;;;
Acer negundo;785;;;;;
Acer opalus;791;;;;;
Acer platanoides;801;dysochor;bird;bird;zoochor;
Acer platanoides;801;ethelochor;   commerce;man;hemerochor;
Acer platanoides;801;ethelochor;;;hemerochor;
Acer platanoides;801;meteorochor;;;meteorochor;
Acer pseudoplatanus;803;dysochor;   mouse;small mammal in the wild;zoochor;94
Acer pseudoplatanus;803;dysochor;   squirrel;small mammal in the wild;zoochor;94
Acer pseudoplatanus;803;dysochor;bird;bird;zoochor;94
Acer pseudoplatanus;803;epizoochor;   cattle;domestic animal;zoochor;94
Acer pseudoplatanus;803;epizoochor;   sheep;domestic animal;zoochor;94
Acer pseudoplatanus;803;ethelochor;   commerce;man;hemerochor;94
Acer pseudoplatanus;803;ethelochor;;;hemerochor;94
Acer pseudoplatanus;803;meteorochor;;;meteorochor;94
Acer pseudoplatanus;803;nautochor;   shaken fresh water;water;nautochor;94
Acer saccharinum;805;meteorochor;;;meteorochor;
Acer saccharophorum;807;;;;;
Acer tataricum;781;;;;;
Aceras anthropophorum;39442;boleochor;;;autochor;
Aceras anthropophorum;39442;meteorochor;;;meteorochor;
Achillea ageratum;5162;;;;;
Achillea asplenifolia;5969;;;;;
Achillea atrata;4794;boleochor;;;autochor;
Achillea atrata;4794;other;;;other;
Achillea cartilaginea;4689;endozoochor;;;zoochor;
Achillea chamaemelifolia;5164;;;;;
Achillea clavennae;3559;;;;;
Achillea clusiana;5353;;;;;
Achillea coarctata;4438;;;;;
Achillea collina;3512;boleochor;;;autochor;
Achillea collina;3512;endozoochor;;;zoochor;
Achillea collina;3512;epizoochor;   clothes and footwear;man;zoochor;
Achillea collina;3512;epizoochor;;;zoochor;
Achillea crithmifolia;3011;;;;;
Achillea distans;5359;;;;;
Achillea erba-rotta s. moschata;6098;;;;;
Achillea filipendulina;3042;boleochor;;;autochor;
Achillea filipendulina;3042;ethelochor;   commerce;man;hemerochor;
Achillea grandifolia;5270;;;;;
Achillea inundata;3836;;;;;
Achillea ligustica;5962;;;;;
Achillea lingulata;5634;;;;;
Achillea macrophylla;4009;boleochor;;;autochor;
Achillea micrantha;5125;;;;;
Achillea micranthoides;62903;;;;;
Achillea millefolium;3013;agochor;;;hemerochor;50
Achillea millefolium;3013;ballochor;;;autochor;50
Achillea millefolium;3013;boleochor;;;autochor;50
Achillea millefolium;3013;dysochor;;;zoochor;50
Achillea millefolium;3013;endozoochor;   cattle;domestic animal;zoochor;50
Achillea millefolium;3013;endozoochor;   horse;domestic animal;zoochor;50
Achillea millefolium;3013;endozoochor;   sheep;domestic animal;zoochor;50
Achillea millefolium;3013;endozoochor;bird;bird;zoochor;50
Achillea millefolium;3013;endozoochor;;;zoochor;50
Achillea millefolium;3013;epizoochor;;;zoochor;50
Achillea millefolium;3013;ethelochor;   commerce;man;hemerochor;50
Achillea millefolium;3013;meteorochor;;;meteorochor;50
Achillea millefolium;3013;nautochor;water;water;nautochor;50
Achillea millefolium;3013;speirochor;;;hemerochor;50
Achillea nana;4923;boleochor;;;autochor;
Achillea nana;4923;other;;;other;
Achillea nobilis;3014;boleochor;;;autochor;
Achillea ochroleuca;4011;;;;;
Achillea odorata;3841;;;;;
Achillea oxyloba;3186;;;;;
Achillea pannonica;5321;ballochor;;;autochor;
Achillea pannonica;5321;dysochor;;;zoochor;
Achillea pannonica;5321;epizoochor;   clothes and footwear;man;zoochor;
Achillea pratensis;59399;;;;;
Achillea ptarmica;4799;boleochor;;;autochor;93.83
Achillea ptarmica;4799;endozoochor;;;zoochor;93.83
Achillea ptarmica;4799;ethelochor;   commerce;man;hemerochor;93.83
Achillea ptarmica;4799;nautochor;   shaken fresh water;water;nautochor;93.83
Achillea ptarmica;4799;nautochor;   standing fresh water;water;nautochor;93.83
Achillea ptarmica;4799;nautochor;water;water;nautochor;93.83
Achillea ptarmica;4799;nautochor;;;nautochor;93.83
Achillea roseo-alba;3187;;;;;
Achillea setacea;5941;boleochor;;;autochor;
Achillea stricta;3840;;;;;
Achillea tomentosa;4549;;;;;
Achnatherum calamagrostis;41606;ethelochor;;;hemerochor;
Achnatherum calamagrostis;41606;meteorochor;;;meteorochor;
Achnatherum splendens;41108;;;;;
Acinos alpinus;24605;boleochor;;;autochor;
Acinos alpinus;24605;dysochor;   ant;invertebrates;zoochor;
Acinos alpinus;24605;endozoochor;;;zoochor;
Acinos alpinus;24605;epizoochor;;;zoochor;
Acinos arvensis;24493;agochor;;;hemerochor;50
Acinos arvensis;24493;ballochor;;;autochor;50
Acinos arvensis;24493;endozoochor;;;zoochor;50
