The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", ld_category "leaf distribution ", ld_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT ld_m.ld_category, sbs.sbs_sbsnumber, ld_m.m_methodname, sbs.sbs_sbsname, ld_m.ld_valid, ld_m.ref_refname, ld_m.or_origrefname, ld_m.ld_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_ld.ld_sbsnumber, r_ld.ld_category, m.m_methodname, r_ld.ld_valid, r_ld.ref_refname, r_ld.or_origrefname FROM (SELECT ld_orf.ld_sbsnumber, ld_orf.ld_category, ld_orf.ld_methodid, ld_orf.ld_valid, r.ref_refname, ld_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT ld.ld_sbsnumber, ld.ld_category, ld.ld_methodid, ld.ld_valid, ld.ld_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS ld_sbsnumber, leafdistributionname AS ld_category, methodid AS ld_methodid, valid AS ld_valid, referenceid AS ld_referenceid, origreferenceid AS ld_origreferenceid FROM (select leafdistributionid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, leafdistributionnameid, created_when, updated_when, valid, validsince, validuntil, ledaid, leafdistributionname
from
(select leafdistributionid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, leafdistributionnameid, created_when, updated_when, valid, validsince, validuntil, ledaid from leafdistribution natural join taxontosbsassignment)
natural join
leafdistributionname_lv WHERE valid IN (-2, 1))) ld FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON ld.ld_origreferenceid = orf.or_origrefid) ld_orf ON r.ref_referenceid = ld_orf.ld_referenceid) r_ld LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_ld.ld_methodid = m.m_methodid) ld_m ON sbs.sbs_sbsnumber = ld_m.ld_sbsnumber)
on Mon Apr 26 11:03:40 CEST 2010 .

SBS number;general method;SBS name;leaf distribution ;valid;reference;original reference
34226;estimation;Pedicularis sceptrum-carolinum;semi-rosette ;1;BIOLFLOR database;
30993;estimation;Alchemilla colorata;semi-rosette ;1;BIOLFLOR database;
30995;estimation;Alchemilla coriacea;semi-rosette ;1;BIOLFLOR database;
30997;estimation;Alchemilla cuspidens;semi-rosette ;1;BIOLFLOR database;
31011;estimation;Sorbus multicrenata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31020;estimation;Spiraea douglasii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31022;estimation;Hieracium arolae;semi-rosette ;1;BIOLFLOR database;
31022;estimation;Hieracium arolae;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
31026;estimation;Rubus vulgaris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31044;estimation;Rubus scaber;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31045;estimation;Rubus schlechtendalii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31048;estimation;Rubus silvaticus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31049;estimation;Rubus spinulatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31057;estimation;Rubus muenteri;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31059;estimation;Rubus obtusangulus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31060;estimation;Rubus odoratus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31062;estimation;Rubus pallidus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31065;estimation;Rubus phyllostachys;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31066;estimation;Rubus plicatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31078;estimation;Rubus micans;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31097;estimation;Rubus calyculatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31101;estimation;Rubus cimbricus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31102;estimation;Rubus conspicuus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31117;estimation;Rubus ammobius;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31119;estimation;Rubus arduennensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31124;estimation;Rosa jundzillii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31125;estimation;Rosa majalis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31128;estimation;Rosa mollis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31137;estimation;Rosa sherardii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31139;estimation;Hieracium atratum;semi-rosette ;1;BIOLFLOR database;
31153;estimation;Pyrus pyraster;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31158;estimation;Rosa arvensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31166;estimation;Hieracium bocconei;semi-rosette ;1;BIOLFLOR database;
31183;estimation;Potentilla supina;semi-rosette ;1;BIOLFLOR database;
31189;estimation;Prunus avium;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31198;estimation;Potentilla anglica;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
31209;estimation;Aruncus dioicus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31211;estimation;Cotoneaster acuminatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31232;estimation;Dryas octopetala;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31243;estimation;Alchemilla undulata;semi-rosette ;1;BIOLFLOR database;
31270;estimation;Alchemilla incisa;semi-rosette ;1;BIOLFLOR database;
31273;estimation;Alchemilla kerneri;semi-rosette ;1;BIOLFLOR database;
31278;estimation;Alchemilla cymatophylla;semi-rosette ;1;BIOLFLOR database;
31279;estimation;Alchemilla decumbens;semi-rosette ;1;BIOLFLOR database;
31302;estimation;Sarracenia purpurea;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
31308;estimation;Chrysosplenium alternifolium;semi-rosette ;1;BIOLFLOR database;
31313;estimation;Chrysosplenium oppositifolium;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31321;estimation;Saxifraga aizoides;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31324;estimation;Saxifraga androsacea;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
31325;estimation;Saxifraga aphylla;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31325;estimation;Saxifraga aphylla;semi-rosette ;1;BIOLFLOR database;
31348;estimation;Saxifraga bryoides;semi-rosette ;1;BIOLFLOR database;
31354;estimation;Saxifraga caesia;semi-rosette ;1;BIOLFLOR database;
31381;estimation;Saxifraga granulata;semi-rosette ;1;BIOLFLOR database;
31390;estimation;Saxifraga hypnoides;semi-rosette ;1;BIOLFLOR database;
31409;estimation;Saxifraga cymbalaria;semi-rosette ;1;BIOLFLOR database;
31429;estimation;Saxifraga stellaris;semi-rosette ;1;BIOLFLOR database;
31463;estimation;Saxifraga hirculus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
31463;estimation;Saxifraga hirculus;semi-rosette ;1;BIOLFLOR database;
30759;estimation;Sorbus badensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30773;estimation;Rubus spectabilis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30776;estimation;Rubus sulcatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30780;estimation;Rubus opacus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
30787;estimation;Rubus rhamnifolius;leaves distributed regularly along the stem ;1;BIOLFLOR database;
