The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", ls_singlevalue "single value [mm^2]", ls_n "sample size", ls_valid "valid", ref_refname "reference", ls_mean "mean LS [mm^2]", ls_maximum "maximum LS [mm^2]", ls_minimum "minimum LS [mm^2]", ls_median "median LS [mm^2]", ls_replicates "number of replicates", ls_stddev "standard deviation", ls_stderror "standard error", ls_collectiondate "collection date", ls_comment "general comment", lflv_name "leaf state", or_origrefname "original reference" FROM (SELECT case when ls_median is not null then ls_median when ls_mean is not null then ls_mean when ls_minimum is not null and ls_maximum is not null then (ls_minimum + ls_maximum) / 2 when ls_minimum is not null then ls_minimum when ls_maximum is not null then ls_maximum else null end AS ls_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, ls_median, ls_mean, ls_minimum, ls_maximum, ls_n, ls_valid, ref_refname, ls_replicates, ls_stddev, ls_stderror, ls_collectiondate, ls_comment, lflv_name, or_origrefname, ls_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_ls.m_methodname, m_ls.ls_median, m_ls.ls_mean, m_ls.ls_minimum, m_ls.ls_maximum, m_ls.ls_n, m_ls.ls_valid, m_ls.ref_refname, m_ls.ls_replicates, m_ls.ls_stddev, m_ls.ls_stderror, m_ls.ls_collectiondate, m_ls.ls_comment, m_ls.lflv_name, m_ls.or_origrefname, m_ls.ls_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_ls.ls_sbsnumber, m.m_methodname, r_ls.ls_median, r_ls.ls_mean, r_ls.ls_minimum, r_ls.ls_maximum, r_ls.ls_n, r_ls.ls_valid, r_ls.ref_refname, r_ls.ls_replicates, r_ls.ls_stddev, r_ls.ls_stderror, r_ls.ls_collectiondate, r_ls.ls_comment, r_ls.lflv_name, r_ls.or_origrefname FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT ls_lflv.ls_sbsnumber, ls_lflv.ls_methodid, ls_lflv.ls_median, ls_lflv.ls_mean, ls_lflv.ls_minimum, ls_lflv.ls_maximum, ls_lflv.ls_n, ls_lflv.ls_valid, r.ref_refname, ls_lflv.ls_replicates, ls_lflv.ls_stddev, ls_lflv.ls_stderror, ls_lflv.ls_collectiondate, ls_lflv.ls_comment, ls_lflv.lflv_name, ls_lflv.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT ls_orf.ls_sbsnumber, ls_orf.ls_methodid, ls_orf.ls_median, ls_orf.ls_mean, ls_orf.ls_minimum, ls_orf.ls_maximum, ls_orf.ls_n, ls_orf.ls_valid, ls_orf.ls_referenceid, ls_orf.ls_replicates, ls_orf.ls_stddev, ls_orf.ls_stderror, ls_orf.ls_collectiondate, ls_orf.ls_comment, lflv.lflv_name, ls_orf.or_origrefname FROM (SELECT ls.ls_sbsnumber, ls.ls_methodid, ls.ls_median, ls.ls_mean, ls.ls_minimum, ls.ls_maximum, ls.ls_n, ls.ls_valid, ls.ls_referenceid, ls.ls_replicates, ls.ls_stddev, ls.ls_stderror, ls.ls_collectiondate, ls.ls_comment, ls.ls_leafformid, orf.or_origrefname FROM (SELECT sbsnumber AS ls_sbsnumber, methodid AS ls_methodid, median AS ls_median, mean AS ls_mean, minimum AS ls_minimum, maximum AS ls_maximum, n AS ls_n, valid AS ls_valid, referenceid AS ls_referenceid, replicates AS ls_replicates, stddeviation AS ls_stddev, stderror AS ls_stderror, collectiondate AS ls_collectiondate, p_comment AS ls_comment, leafformid AS ls_leafformid, origreferenceid AS ls_origreferenceid FROM (SELECT sbsnumber, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, leafformid, leafsizeid FROM leafsize natural join taxontosbsassignment WHERE valid IN (-2, 1))) ls FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON ls.ls_origreferenceid = orf.or_origrefid) ls_orf FULL JOIN (SELECT leafformid AS lflv_id, leafformname AS lflv_name FROM (select leafformid, leafformname from leafform_lv)) lflv ON ls_orf.ls_leafformid = lflv.lflv_id) ls_lflv ON r.ref_referenceid = ls_lflv.ls_referenceid) r_ls ON m.m_methodid = r_ls.ls_methodid) m_ls ON sbs.sbs_sbsnumber = m_ls.ls_sbsnumber)) ORDER BY sbs_sbsname
on Tue Apr 29 10:38:50 CEST 2008 .

SBS name;SBS number;general method;single value [mm^2];sample size;valid;reference;mean LS [mm^2];maximum LS [mm^2];minimum LS [mm^2];median LS [mm^2];number of replicates;standard deviation;standard error;collection date;general comment;leaf state;original reference
Abies alba;697;actual measurement (following LEDA data standards);41.25;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;42.4;56.5;27;41.25;2;;;2004-07-07 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Acer campestre;811;actual measurement;5570;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;5570;;;1;;;1997-06-11 00:00:00.0;;without petiole and rachis;
Acer campestre;811;actual measurement;3913;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;3913;;;2;;;1996-09-02 00:00:00.0;;without petiole and rachis;
Acer platanoides;801;actual measurement;8756.5;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;8756.5;;;;5;3221.41;;1995-07-01 00:00:00.0;;without petiole and rachis;
Acer platanoides;801;actual measurement;6824.8;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;6824.8;;;;5;2390.9;;1995-07-01 00:00:00.0;;without petiole and rachis;
Acer platanoides;801;actual measurement (following LEDA data standards);0;7;1;Niinemets, Ülo(2003): Leaf structure vs. nutrient relationship vary with soil onditions in temperate shrubs and trees;5193.54;5193.54;0;0;74;2.837568281;1.0725;2004-01-22 00:00:00.0;;unknown;Niinemets, Ülo(2003): Leaf structure vs. nutrient relationship vary with soil onditions in temperate shrubs and trees
Acer pseudoplatanus;803;actual measurement;7967.2;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;7967.2;;;;5;2412.52;;1995-07-01 00:00:00.0;;without petiole and rachis;
Acer pseudoplatanus;803;actual measurement;5435.1;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;5435.1;;;;5;1492.84;;1995-07-01 00:00:00.0;;without petiole and rachis;
Acer pseudoplatanus;803;actual measurement;11726.4;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;11726.4;;;;5;4254.07;;1995-07-01 00:00:00.0;;without petiole and rachis;
Acer pseudoplatanus;803;actual measurement;8332;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;8332;;;;5;2827.02;;1995-07-01 00:00:00.0;;without petiole and rachis;
Aceras anthropophorum;39442;actual measurement;389;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;389;;;1;;;1997-06-04 00:00:00.0;;without petiole and rachis;
Aceras anthropophorum;39442;actual measurement (following LEDA data standards);1663;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1746.5;2021;1555.5;1663;2;;;2005-05-23 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Achillea cartilaginea;4689;actual measurement (following LEDA data standards);472.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;490.2;649.5;324;472.75;2;;;2004-09-02 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Achillea collina;3512;laboratory/greenhouse/garden experiment;1037.49;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1108.75;1830.52;550.5;1037.49;2;;;2004-08-17 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Achillea macrophylla;4009;laboratory/greenhouse/garden experiment;10857.67;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;10251.62;13718.8;5458.61;10857.67;2;;;2005-06-22 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Achillea macrophylla;4009;actual measurement (following LEDA data standards);16800.5;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;17601.5;19420;16584;16800.5;2;;;2004-07-08 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Achillea millefolium;3013;actual measurement;411;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;411;;;2;;;;;without petiole and rachis;
Achillea pannonica;5321;actual measurement (following LEDA data standards);156.67;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;145.46;204;95;156.67;2;;;2004-08-09 00:00:00.0;Preaggregated value obtained from single record. stem leaves;with petiole and rachis;
