The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", m_methodname "general method", rh_singlevalue "single value [m]", rh_n "sample size", rh_valid "record valid", ref_refname "reference", rh_maximum "maximum RH [m]", rh_mean "mean RH [m]", rh_minimum "minimum RH [m]", rh_median "median RH [m]", rh_replicates "number of replicates", rh_comment "general comment", or_origrefname "original reference" FROM (SELECT case when rh_median is not null then rh_median when rh_mean is not null then rh_mean when rh_minimum is not null and rh_maximum is not null then (rh_minimum + rh_maximum) / 2 when rh_minimum is not null then rh_minimum when rh_maximum is not null then rh_maximum else null end AS rh_singlevalue, sbs_sbsname, m_methodname, rh_median, rh_mean, rh_minimum, rh_maximum, rh_n, rh_valid, ref_refname, rh_replicates, rh_comment, or_origrefname, rh_sbsnumber FROM (SELECT sbs.sbs_sbsname, rh_m.m_methodname, rh_m.rh_median, rh_m.rh_mean, rh_m.rh_minimum, rh_m.rh_maximum, rh_m.rh_n, rh_m.rh_valid, rh_m.ref_refname, rh_m.rh_replicates, rh_m.rh_comment, rh_m.or_origrefname, rh_m.rh_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_rh.rh_sbsnumber, m.m_methodname, r_rh.rh_median, r_rh.rh_mean, r_rh.rh_minimum, r_rh.rh_maximum, r_rh.rh_n, r_rh.rh_valid, r_rh.ref_refname, r_rh.rh_replicates, r_rh.rh_comment, r_rh.or_origrefname FROM (SELECT rh_orf.rh_sbsnumber, rh_orf.rh_methodid, rh_orf.rh_median, rh_orf.rh_mean, rh_orf.rh_minimum, rh_orf.rh_maximum, rh_orf.rh_n, rh_orf.rh_valid, r.ref_refname, rh_orf.rh_replicates, rh_orf.rh_comment, rh_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT rh.rh_sbsnumber, rh.rh_methodid, rh.rh_median, rh.rh_mean, rh.rh_minimum, rh.rh_maximum, rh.rh_n, rh.rh_valid, rh.rh_referenceid, rh.rh_replicates, rh.rh_comment, orf.or_origrefname FROM (SELECT sbsnumber AS rh_sbsnumber, methodid AS rh_methodid, median AS rh_median, mean AS rh_mean, minimum AS rh_minimum, maximum AS rh_maximum, n AS rh_n, valid AS rh_valid, referenceid AS rh_referenceid, replicates AS rh_replicates, p_comment AS rh_comment, origreferenceid AS rh_origreferenceid FROM (SELECT releasingheightid, sbsnumber, n, replicates, mean, minimum, maximum, median, stddeviation, stderror, collectiondate, p_comment, methodid, referenceid, supportstructuretypeid, origreferenceid, habitattypeid, georefid, valid, ledaid, batchid FROM releasingheight natural join taxontosbsassignment WHERE valid IN (-2, 1, 2, -8, 2, -8))) rh FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON rh.rh_origreferenceid = orf.or_origrefid) rh_orf ON r.ref_referenceid = rh_orf.rh_referenceid) r_rh LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_rh.rh_methodid = m.m_methodid) rh_m ON sbs.sbs_sbsnumber = rh_m.rh_sbsnumber)) ORDER BY sbs_sbsname
on Fri Feb 05 09:52:56 CET 2010 .

SBS name;general method;single value [m];sample size;record valid;reference;maximum RH [m];mean RH [m];minimum RH [m];median RH [m];number of replicates;general comment;original reference
Abies alba;actual measurement (following LEDA data standards);8;25;1;BIOPOP April 2005;8;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Abies alba;unknown;50;;1;BIOPOP April 2005;50;;;;;;
Abies grandis;unknown;50;;1;BIOPOP April 2005;70;;30;;;;
Abies nordmanniana;unknown;30;;1;BIOPOP April 2005;30;;;;;;
Acer campestre;actual measurement (following LEDA data standards);15;25;1;BIOPOP April 2005;15;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Acer campestre;unknown;15.5;1;1;Jones, E. W.(1944): Biological flora of the British Isles: Acer campestre L. [32];23.2;;12;15.5;1;N unknown;Jones, E. W.(1944): Biological flora of the British Isles: Acer campestre L. [32]
Acer campestre;unknown;20;;1;BIOPOP April 2005;20;;;;;;
Acer monspessulanum;unknown;11;;1;BIOPOP April 2005;11;;;;;;
Acer negundo;unknown;11.5;;1;BIOPOP April 2005;20;;3;;;;
Acer opalus;unknown;12;;1;BIOPOP April 2005;12;;;;;;
Acer platanoides;actual measurement (following LEDA data standards);25;25;1;BIOPOP April 2005;25;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Acer platanoides;unknown;25;;1;BIOPOP April 2005;25;;;;;;
Acer platanoides;unknown;17.5;;1;BIOPOP April 2005;25;;10;;;;
Acer pseudoplatanus;actual measurement (following LEDA data standards);25;25;1;BIOPOP April 2005;25;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Acer pseudoplatanus;unknown;17.5;;1;BIOPOP April 2005;25;;10;;;;
Acer pseudoplatanus;unknown;25;;1;BIOPOP April 2005;25;;;;;;
Acer saccharinum;unknown;40;;1;BIOPOP April 2005;40;;;;;;
Aceras anthropophorum;unknown;.275;;1;BIOPOP April 2005;.35;;.2;;;;
Achillea atrata;unknown;.14;;1;BIOPOP April 2005;.2;;.08;;;;
Achillea cartilaginea;unknown;.7;;1;BIOPOP April 2005;1.2;;.2;;;;
Achillea clavennae;unknown;.175;;1;BIOPOP April 2005;.25;;.1;;;;
Achillea collina;laboratory/greenhouse/garden experiment;.58;13;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.81;.59;.42;.58;;(automatically preaggregated values) ;
Achillea macrophylla;laboratory/greenhouse/garden experiment;.73;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.08;.76;.53;.73;;(automatically preaggregated values) ;
Achillea macrophylla;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Achillea millefolium;actual measurement (following LEDA data standards);.5;25;1;BIOPOP April 2005;.5;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Achillea millefolium;unknown;.25;;1;BIOPOP April 2005;;.25;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Achillea millefolium;unknown;.6;;1;BIOPOP April 2005;1;;.2;;;;Warwick, S.I. (1982): The biology of Canadian weeds. 52. Achillea millefolium L. S.L.
